score_bin,n,avg_pred,event_rate,abs_gap
0,2251,0.023095324392228167,0.01288316303864949,0.010212161353578678
1,2250,0.023575484780801667,0.02311111111111111,0.00046437366969055704
2,2249,0.02794853315956596,0.02712316585148955,0.0008253673080764086
3,2259,0.036202498416871086,0.033643204957945996,0.0025592934589250896
4,2241,0.046002067239861145,0.04462293618920125,0.0013791310506598986
5,2265,0.05020507454674765,0.046357615894039736,0.0038474586527079135
6,2244,0.054034055326857774,0.05614973262032086,0.0021156772934630835
7,2241,0.06008193757100756,0.06470325747434182,0.004621319903334253
8,2253,0.07224459683252238,0.08033732800710164,0.00809273117457926
9,2247,0.24394029482343646,0.27992879394748554,0.035988499124049084
