feature,mean_abs_effect,mean_signed_effect,positive_effect_rate,top_reason_rate
age,0.6002317557714207,0.6002317557714207,0.9965333333333334,0.9963111111111111
NumberOfTime30-59DaysPastDueNotWorse,0.08393349995878008,0.08393349995878008,0.051644444444444444,0.051644444444444444
NumberOfTimes90DaysLate,0.039831244288550484,0.039831244288550484,0.018533333333333332,0.018533333333333332
NumberOfTime60-89DaysPastDueNotWorse,0.02192983839776781,0.02192983839776781,0.010977777777777777,0.010977777777777777
NumberRealEstateLoansOrLines,0.016400445731284304,0.015155416566247328,0.08897777777777778,0.08866666666666667
NumberOfOpenCreditLinesAndLoans,0.006023551870275858,0.005796420809917617,0.6379111111111111,0.6330666666666667
NumberOfDependents,0.005311171960147718,0.005311171960147718,0.8256444444444444,0.8199111111111111
MonthlyIncome,5.755112370567793e-08,5.755112370567793e-08,1.0,0.8995111111111112
RevolvingUtilizationOfUnsecuredLines,0.0,0.0,0.0,0.0
DebtRatio,0.0,0.0,0.0,0.0
