test_index,perturbations,exact_match_rate,jaccard_mean
0,8,0.125,0.5166666666666667
1,8,0.125,0.4690476190476191
2,8,0.375,0.65
3,8,0.375,0.6833333333333333
4,8,0.125,0.48958333333333326
5,8,0.125,0.4023809523809524
6,8,0.125,0.4645833333333333
7,8,0.25,0.7
8,8,0.0,0.41904761904761906
9,8,0.0,0.5020833333333333
10,8,0.0,0.5095238095238095
11,8,0.0,0.47083333333333327
12,8,0.125,0.40238095238095234
13,8,0.0,0.32857142857142857
14,8,0.25,0.6854166666666666
15,8,0.25,0.6291666666666668
16,8,0.125,0.5833333333333333
17,8,0.125,0.60625
18,8,0.25,0.5523809523809524
19,8,0.0,0.4437499999999999
20,8,0.0,0.5750000000000001
21,8,0.125,0.43333333333333335
22,8,0.0,0.32857142857142857
23,8,0.125,0.6104166666666666
24,8,0.0,0.4770833333333333
25,8,0.125,0.39285714285714285
26,8,0.0,0.5
27,8,0.0,0.5166666666666666
28,8,0.25,0.6333333333333333
29,8,0.125,0.5625000000000001
30,8,0.0,0.4583333333333333
31,8,0.5,0.7333333333333333
32,8,0.125,0.4595238095238096
33,8,0.0,0.53125
34,8,0.125,0.65
35,8,0.0,0.45833333333333326
36,8,0.125,0.48958333333333326
37,8,0.25,0.5333333333333333
38,8,0.0,0.3270833333333333
39,8,0.25,0.5354166666666667
40,8,0.25,0.6395833333333334
41,8,0.25,0.6095238095238096
42,8,0.0,0.4666666666666667
43,8,0.375,0.6166666666666666
44,8,0.125,0.40238095238095234
45,8,0.25,0.6083333333333334
46,8,0.25,0.6520833333333333
47,8,0.125,0.45952380952380956
48,8,0.0,0.41785714285714287
49,8,0.125,0.4877976190476191
50,8,0.125,0.6500000000000001
51,8,0.125,0.5333333333333333
52,8,0.25,0.6428571428571429
53,8,0.0,0.475
54,8,0.125,0.5916666666666666
55,8,0.125,0.5166666666666667
56,8,0.125,0.46041666666666664
57,8,0.0,0.4729166666666666
58,8,0.125,0.4928571428571428
59,8,0.0,0.47291666666666665
60,8,0.125,0.4833333333333334
61,8,0.0,0.5458333333333333
62,8,0.25,0.6428571428571429
63,8,0.375,0.7166666666666666
64,8,0.125,0.4928571428571429
65,8,0.375,0.75
66,8,0.375,0.6782738095238094
67,8,0.0,0.4666666666666667
68,8,0.125,0.5499999999999999
69,8,0.375,0.6833333333333333
70,8,0.125,0.65
71,8,0.125,0.5041666666666667
72,8,0.0,0.4428571428571429
73,8,0.0,0.4583333333333333
74,8,0.0,0.5666666666666667
75,8,0.0,0.48749999999999993
76,8,0.0,0.45833333333333326
77,8,0.25,0.59375
78,8,0.125,0.4595238095238095
79,8,0.125,0.475
80,8,0.0,0.5375
81,8,0.0,0.4949404761904762
82,8,0.0,0.5249999999999999
83,8,0.125,0.5604166666666667
84,8,0.0,0.5895833333333333
85,8,0.125,0.6166666666666667
86,8,0.0,0.55625
87,8,0.0,0.3416666666666666
88,8,0.0,0.48749999999999993
89,8,0.0,0.6187500000000001
90,8,0.0,0.38541666666666663
91,8,0.0,0.4428571428571429
92,8,0.0,0.6770833333333333
93,8,0.0,0.3857142857142857
94,8,0.125,0.5770833333333333
95,8,0.25,0.6282738095238095
96,8,0.0,0.4523809523809524
97,8,0.0,0.38571428571428573
98,8,0.0,0.5145833333333333
99,8,0.125,0.5595238095238095
100,8,0.125,0.46041666666666664
101,8,0.5,0.75625
102,8,0.625,0.8500000000000001
103,8,0.0,0.54375
104,8,0.125,0.5166666666666667
105,8,0.25,0.6520833333333333
106,8,0.125,0.5261904761904762
107,8,0.0,0.48988095238095236
108,8,0.125,0.6395833333333333
109,8,0.0,0.40952380952380957
110,8,0.25,0.6666666666666666
111,8,0.25,0.6666666666666666
112,8,0.125,0.55
113,8,0.125,0.5333333333333333
114,8,0.125,0.65
115,8,0.0,0.4270833333333333
116,8,0.125,0.3928571428571429
117,8,0.0,0.5095238095238095
118,8,0.0,0.4333333333333334
119,8,0.0,0.6625000000000001
120,8,0.375,0.6812499999999999
121,8,0.125,0.5770833333333333
122,8,0.25,0.5666666666666667
123,8,0.25,0.5761904761904761
124,8,0.0,0.4333333333333334
125,8,0.0,0.4666666666666667
126,8,0.0,0.53125
127,8,0.125,0.5166666666666667
128,8,0.125,0.625
129,8,0.0,0.41250000000000003
130,8,0.0,0.45238095238095244
131,8,0.125,0.5449404761904761
132,8,0.0,0.575
133,8,0.0,0.3125
134,8,0.125,0.42619047619047623
135,8,0.125,0.5916666666666668
136,8,0.0,0.3875
137,8,0.125,0.5166666666666667
138,8,0.0,0.38541666666666663
139,8,0.25,0.725
140,8,0.0,0.6083333333333334
141,8,0.0,0.5333333333333333
142,8,0.0,0.3806547619047619
143,8,0.25,0.7250000000000001
144,8,0.125,0.4595238095238096
145,8,0.125,0.5166666666666666
146,8,0.0,0.4949404761904762
147,8,0.25,0.5190476190476191
148,8,0.0,0.47291666666666665
149,8,0.0,0.4428571428571429
150,8,0.125,0.5833333333333333
151,8,0.0,0.4083333333333334
152,8,0.0,0.5895833333333335
153,8,0.125,0.5458333333333334
154,8,0.0,0.35625
155,8,0.0,0.4729166666666667
156,8,0.125,0.5833333333333333
157,8,0.25,0.6333333333333332
158,8,0.25,0.6000000000000001
159,8,0.0,0.3428571428571429
160,8,0.0,0.4083333333333333
