test_index,block_index,feature_a,feature_b,dense_weight,old_phi_a,old_phi_b,old_baseline_f0,old_block_output_fab,old_identity_residual,new_phi_a,new_phi_b,new_pure_interaction,new_baseline_f0,new_block_output_fab,new_identity_residual
17411,0,RevolvingUtilizationOfUnsecuredLines,DebtRatio,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9874,0,RevolvingUtilizationOfUnsecuredLines,DebtRatio,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14726,0,RevolvingUtilizationOfUnsecuredLines,DebtRatio,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,0,RevolvingUtilizationOfUnsecuredLines,DebtRatio,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9742,0,RevolvingUtilizationOfUnsecuredLines,DebtRatio,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17411,2,NumberOfTime30-59DaysPastDueNotWorse,NumberOfTime60-89DaysPastDueNotWorse,3.7476892471313477,0.0,0.0,0.017790207639336586,0.017790207639336586,0.0,0.0,0.0,0.0,0.017790207639336586,0.017790207639336586,0.0
9874,2,NumberOfTime30-59DaysPastDueNotWorse,NumberOfTime60-89DaysPastDueNotWorse,3.7476892471313477,0.0,0.0,0.017790207639336586,0.017790207639336586,0.0,0.0,0.0,0.0,0.017790207639336586,0.017790207639336586,0.0
14726,2,NumberOfTime30-59DaysPastDueNotWorse,NumberOfTime60-89DaysPastDueNotWorse,3.7476892471313477,0.0,0.0,0.017790207639336586,0.017790207639336586,0.0,0.0,0.0,0.0,0.017790207639336586,0.017790207639336586,0.0
2007,2,NumberOfTime30-59DaysPastDueNotWorse,NumberOfTime60-89DaysPastDueNotWorse,3.7476892471313477,0.0,0.0,0.017790207639336586,0.017790207639336586,0.0,0.0,0.0,0.0,0.017790207639336586,0.017790207639336586,0.0
9742,2,NumberOfTime30-59DaysPastDueNotWorse,NumberOfTime60-89DaysPastDueNotWorse,3.7476892471313477,0.0,0.0,0.017790207639336586,0.017790207639336586,0.0,0.0,0.0,0.0,0.017790207639336586,0.017790207639336586,0.0
17411,5,NumberOfOpenCreditLinesAndLoans,NumberRealEstateLoansOrLines,1.705527424812317,0.00043207406997680664,0.0,0.016755471006035805,0.01718754507601261,0.0,0.00043207406997680664,0.0,0.0,0.016755471006035805,0.01718754507601261,0.0
9874,5,NumberOfOpenCreditLinesAndLoans,NumberRealEstateLoansOrLines,1.705527424812317,0.00019012205302715302,0.0,0.016755471006035805,0.016945593059062958,0.0,0.00019012205302715302,0.0,0.0,0.016755471006035805,0.016945593059062958,0.0
14726,5,NumberOfOpenCreditLinesAndLoans,NumberRealEstateLoansOrLines,1.705527424812317,0.001048937439918518,0.0,0.016755471006035805,0.017804408445954323,0.0,0.001048937439918518,0.0,0.0,0.016755471006035805,0.017804408445954323,0.0
2007,5,NumberOfOpenCreditLinesAndLoans,NumberRealEstateLoansOrLines,1.705527424812317,-0.00013541150838136673,-0.001963299699127674,0.016755471006035805,0.014656759798526764,0.0,-0.00013541150838136673,-0.001963299699127674,1.862645149230957e-09,0.016755471006035805,0.014656759798526764,0.0
9742,5,NumberOfOpenCreditLinesAndLoans,NumberRealEstateLoansOrLines,1.705527424812317,5.315802991390228e-05,0.0,0.016755471006035805,0.016808629035949707,0.0,5.315802991390228e-05,0.0,0.0,0.016755471006035805,0.016808629035949707,0.0
