section,name,value
xcreditscore,auc,0.7540708425211692
xcreditscore,pr_auc,0.2902084905421403
xcreditscore,brier,0.05467115715146065
xcreditscore,log_loss,0.20939809493543673
xcreditscore,accuracy,0.9345777777777777
xcreditscore,precision,0.5273037542662116
xcreditscore,recall,0.20545212765957446
xcreditscore,f1,0.29569377990430623
baseline:logistic_regression,auc,0.7463047672707669
baseline:logistic_regression,pr_auc,0.2791496784450704
baseline:logistic_regression,f1,0.22631578947368422
baseline:logistic_regression,accuracy,0.9346666666666666
baseline:random_forest,auc,0.809232929499236
baseline:random_forest,pr_auc,0.3280748123081657
baseline:random_forest,f1,0.3770918557084418
baseline:random_forest,accuracy,0.9255555555555556
baseline:xgboost,auc,0.8370922127264362
baseline:xgboost,pr_auc,0.36393188964643175
baseline:xgboost,f1,0.3688925081433225
baseline:xgboost,accuracy,0.9311111111111111
baseline:monotone_xgboost,auc,0.8369093004797267
baseline:monotone_xgboost,pr_auc,0.3626949521450701
baseline:monotone_xgboost,f1,0.35596794601433995
baseline:monotone_xgboost,accuracy,0.9321333333333334
baseline:ebm,auc,0.8335974994477164
baseline:ebm,pr_auc,0.35610420387119945
baseline:ebm,f1,0.34394341290893016
baseline:ebm,accuracy,0.9340444444444445
baseline:monotone_gam,auc,0.7663180778101604
baseline:monotone_gam,pr_auc,0.30273087080686906
baseline:monotone_gam,f1,0.30863039399624764
baseline:monotone_gam,accuracy,0.9344888888888889
objective_sweep:f1,threshold,0.3
objective_sweep:f1,f1,0.29569377990430623
objective_sweep:precision,threshold,0.5700000000000003
objective_sweep:precision,f1,0.1161524500907441
objective_sweep:recall,threshold,0.3
objective_sweep:recall,f1,0.29569377990430623
