model,trial,interactions,learning_rate,max_bins,outer_bags,auc_mean,pr_auc_mean,f1_mean,auc_std,pr_auc_std,f1_std,lam,n_splines,spline_order,max_iter
ebm,1,10.0,0.05,128.0,8.0,0.8316941527771743,0.3492145755852819,0.31049781911524443,0.0040072935923663126,0.006349429689989704,0.008466142081280445,,,,
ebm,2,5.0,0.02,512.0,8.0,0.8327484746659305,0.34961926699723667,0.3095976320592418,0.00390666698364951,0.006662885399843579,0.006654731029046437,,,,
ebm,3,5.0,0.01,128.0,8.0,0.8328592669939633,0.3502398458471402,0.3126627719023879,0.003930336818895843,0.005845621702587038,0.009733936979332959,,,,
ebm,4,5.0,0.02,128.0,14.0,0.8325650135594816,0.34981494595770746,0.31085805385790355,0.003962989602610344,0.006275083295106565,0.00786564278624222,,,,
ebm,5,10.0,0.01,256.0,14.0,0.8329249513302364,0.350442362410485,0.3130345973349185,0.0038670699395949347,0.006342371541829802,0.009452454937146705,,,,
ebm,6,10.0,0.01,128.0,14.0,0.832841513634022,0.35035302638766297,0.3125644493549254,0.0039184946911809395,0.005966144801883564,0.009574553920680712,,,,
ebm,7,15.0,0.02,128.0,8.0,0.8325820768271857,0.3496975622116553,0.3097078283986302,0.003985074777798438,0.006214904661271343,0.008420090602225651,,,,
ebm,8,10.0,0.05,256.0,8.0,0.831806365144524,0.3493075574252434,0.3094745352379576,0.004222507587705687,0.00629194022724676,0.004560503301920743,,,,
ebm,9,5.0,0.05,256.0,14.0,0.8319557226748543,0.34939758663234377,0.3096295471983174,0.00408971317933377,0.0063722978944606885,0.005488427908057363,,,,
ebm,10,5.0,0.02,512.0,14.0,0.8327069445326927,0.3497315246538607,0.3113991679941048,0.0038334319478191877,0.006650972616271347,0.0077989699762184206,,,,
ebm,11,15.0,0.01,256.0,14.0,0.8329249513302364,0.350442362410485,0.3130345973349185,0.0038670699395949347,0.006342371541829802,0.009452454937146705,,,,
ebm,12,15.0,0.02,256.0,14.0,0.832656470676239,0.3499269071743646,0.30978972871403837,0.003953078535182424,0.006466005605623914,0.009216034961748215,,,,
ebm,13,10.0,0.02,256.0,8.0,0.8326544336486604,0.34982469872038496,0.30842123470129146,0.004003905249893024,0.006378837426813672,0.007296100712609364,,,,
ebm,14,0.0,0.05,512.0,14.0,0.8318976557708743,0.3492310038165547,0.30873216737208253,0.003823601718083254,0.0065974692609935106,0.007257263294395277,,,,
ebm,15,0.0,0.01,512.0,8.0,0.833004199367776,0.350232930548451,0.3139035777091963,0.003839396330976438,0.006495969120399885,0.0059856303165609255,,,,
ebm,16,5.0,0.02,128.0,8.0,0.8325820768271857,0.3496975622116553,0.3097078283986302,0.003985074777798438,0.006214904661271343,0.008420090602225651,,,,
ebm,17,5.0,0.01,256.0,14.0,0.8329249513302364,0.350442362410485,0.3130345973349185,0.0038670699395949347,0.006342371541829802,0.009452454937146705,,,,
ebm,18,0.0,0.02,128.0,14.0,0.8325468822204755,0.3499240962796584,0.31118666104454734,0.003944759162481238,0.00620670749948807,0.007649673100629342,,,,
ebm,19,5.0,0.02,256.0,8.0,0.8326544336486604,0.34982469872038496,0.30842123470129146,0.004003905249893024,0.006378837426813672,0.007296100712609364,,,,
ebm,20,15.0,0.02,512.0,8.0,0.8327484746659305,0.34961926699723667,0.3095976320592418,0.00390666698364951,0.006662885399843579,0.006654731029046437,,,,
monotone_gam,1,,,,,0.7644865827551718,0.29904356463222026,0.2617411417794611,0.005198571527293558,0.0026937997676567496,0.006731266980873983,0.1,10.0,3.0,200.0
monotone_gam,2,,,,,0.7588194648187292,0.2944298919507144,0.2510709324563455,0.004229507670313104,0.0037440136257263145,0.010172561968226643,25.0,10.0,3.0,200.0
monotone_gam,3,,,,,0.7600412509120735,0.29620256824747015,0.25399946519313793,0.004418295303152514,0.003578730144067018,0.007877097503660264,10.0,10.0,3.0,200.0
monotone_gam,4,,,,,0.7617608296131199,0.29797510996705884,0.25494653280177065,0.004894679736151625,0.003296994488418499,0.009941386385611562,25.0,15.0,3.0,200.0
monotone_gam,5,,,,,0.7658457341715337,0.2992348601636138,0.2634059465818844,0.005352515763943489,0.002338016099059742,0.0061504248884662474,1.0,20.0,3.0,200.0
monotone_gam,6,,,,,0.765389308737275,0.2992483506516251,0.26105957310956174,0.0052065160961054045,0.002465679915589474,0.005254595764844662,10.0,25.0,3.0,200.0
monotone_gam,7,,,,,0.7659450130776901,0.2993980414397891,0.2635913858957649,0.005575420172007104,0.0024771675026394515,0.00780042591276265,1.0,25.0,3.0,200.0
monotone_gam,8,,,,,0.7649212040098048,0.2991934675086917,0.25936527988869706,0.005224342058506986,0.00276529790823745,0.006483169937258631,0.6,15.0,3.0,200.0
monotone_gam,9,,,,,0.764627944503429,0.29903417025867807,0.25797809675535077,0.005193706532191969,0.0026665578636259645,0.006505495779341687,10.0,20.0,3.0,200.0
monotone_gam,10,,,,,0.7608803598608829,0.2972237321289489,0.2548698221673125,0.00460001937857938,0.0036152133160349217,0.00877865499170031,5.0,10.0,3.0,200.0
monotone_gam,11,,,,,0.7225106118054712,0.25532475371207547,0.23892515203768552,0.0999969863738771,0.09923181010277486,0.05808376884101672,0.1,20.0,3.0,200.0
monotone_gam,12,,,,,0.7637059643488758,0.2989090123187844,0.25583930456994397,0.00512534943407901,0.0028798974847294226,0.006913439692151858,25.0,20.0,3.0,200.0
monotone_gam,13,,,,,0.7647968084091639,0.2991543186859503,0.25849071154471664,0.005126465088694994,0.0026536186228672885,0.006478757793712217,25.0,25.0,3.0,200.0
monotone_gam,14,,,,,0.7660072875985285,0.29941326259316847,0.2642057716670093,0.005382033236921019,0.002368617993433101,0.006217162356588924,0.6,20.0,3.0,200.0
monotone_gam,15,,,,,0.7627534668282733,0.29875266860201133,0.2582497619861174,0.0049880482553552674,0.00316237539960735,0.009283395599836172,1.0,10.0,3.0,200.0
monotone_gam,16,,,,,0.7651570302645914,0.29913413190685756,0.2595983359909554,0.005190738901711205,0.002575099926840304,0.006092768171935481,5.0,20.0,3.0,200.0
monotone_gam,17,,,,,0.7656653857588648,0.2992095961053777,0.2629327628564016,0.005297314437257236,0.0025175102204521684,0.006635397064534981,5.0,25.0,3.0,200.0
monotone_gam,18,,,,,0.7632799475747587,0.2988474304083227,0.2580962772819159,0.00508908334761008,0.0029873058721020516,0.008552111902380538,0.6,10.0,3.0,200.0
monotone_gam,19,,,,,0.7645790135471067,0.2991386381695569,0.2585990182258569,0.005193390276730696,0.00275539852784805,0.005833651827117847,1.0,15.0,3.0,200.0
monotone_gam,20,,,,,0.7632589068982055,0.29864484790305434,0.25671287707306945,0.00517965675760668,0.00299507649197618,0.007221360531978903,5.0,15.0,3.0,200.0
