threshold,approve_rate,deny_rate,policy_interpretation,accuracy,precision,recall,f1,tn,fp,fn,tp
0.3,0.9739555555555556,0.026044444444444443,approval_focused_policy_high_approvals_lower_risk_capture,0.9345777777777777,0.5273037542662116,0.20545212765957446,0.29569377990430623,20719,277,1195,309
0.31,0.9758222222222223,0.024177777777777777,approval_focused_policy_high_approvals_lower_risk_capture,0.9352,0.5422794117647058,0.19614361702127658,0.2880859375,20747,249,1209,295
0.32,0.9768888888888889,0.02311111111111111,approval_focused_policy_high_approvals_lower_risk_capture,0.9352,0.5442307692307692,0.18816489361702127,0.27964426877470355,20759,237,1221,283
0.33,0.9778666666666667,0.022133333333333335,approval_focused_policy_high_approvals_lower_risk_capture,0.9351111111111111,0.5441767068273092,0.18018617021276595,0.2707292707292707,20769,227,1233,271
0.34,0.9788444444444444,0.021155555555555556,approval_focused_policy_high_approvals_lower_risk_capture,0.9349333333333333,0.542016806722689,0.17154255319148937,0.2606060606060606,20778,218,1246,258
0.35000000000000003,0.9802666666666666,0.019733333333333332,approval_focused_policy_high_approvals_lower_risk_capture,0.9353777777777778,0.5563063063063063,0.16422872340425532,0.2535934291581109,20799,197,1257,247
0.36000000000000004,0.9824888888888889,0.017511111111111113,approval_focused_policy_high_approvals_lower_risk_capture,0.9356444444444444,0.5710659898477157,0.14960106382978725,0.23709167544783982,20827,169,1279,225
0.37000000000000005,0.9839111111111111,0.01608888888888889,approval_focused_policy_high_approvals_lower_risk_capture,0.9356444444444444,0.5773480662983426,0.1389627659574468,0.2240085744908896,20843,153,1295,209
0.38000000000000006,0.9850222222222222,0.014977777777777777,approval_focused_policy_high_approvals_lower_risk_capture,0.9355111111111111,0.5786350148367952,0.12965425531914893,0.2118413905486149,20854,142,1309,195
0.39000000000000007,0.9859555555555556,0.014044444444444444,approval_focused_policy_high_approvals_lower_risk_capture,0.9352888888888888,0.5759493670886076,0.12101063829787234,0.2,20862,134,1322,182
0.4000000000000001,0.9870666666666666,0.012933333333333333,approval_focused_policy_high_approvals_lower_risk_capture,0.9349777777777778,0.570446735395189,0.11037234042553191,0.18495821727019499,20871,125,1338,166
0.4100000000000001,0.9879111111111111,0.012088888888888889,approval_focused_policy_high_approvals_lower_risk_capture,0.9350222222222222,0.5772058823529411,0.10438829787234043,0.1768018018018018,20881,115,1347,157
0.4200000000000001,0.9887111111111111,0.011288888888888888,approval_focused_policy_high_approvals_lower_risk_capture,0.9349333333333333,0.5787401574803149,0.09773936170212766,0.16723549488054607,20889,107,1357,147
0.4300000000000001,0.9893777777777778,0.010622222222222222,approval_focused_policy_high_approvals_lower_risk_capture,0.9348,0.5774058577405857,0.09175531914893617,0.15834767641996558,20895,101,1366,138
0.4400000000000001,0.9902666666666666,0.009733333333333333,approval_focused_policy_high_approvals_lower_risk_capture,0.9350666666666667,0.5981735159817352,0.08710106382978723,0.15206035983749275,20908,88,1373,131
0.4500000000000001,0.9905333333333334,0.009466666666666667,approval_focused_policy_high_approvals_lower_risk_capture,0.9350666666666667,0.6009389671361502,0.0851063829787234,0.14909726266744322,20911,85,1376,128
0.46000000000000013,0.9907555555555555,0.009244444444444444,approval_focused_policy_high_approvals_lower_risk_capture,0.9350222222222222,0.6009615384615384,0.08311170212765957,0.14602803738317757,20913,83,1379,125
0.47000000000000014,0.9912,0.0088,approval_focused_policy_high_approvals_lower_risk_capture,0.9349333333333333,0.601010101010101,0.07912234042553191,0.1398354876615746,20917,79,1385,119
0.48000000000000015,0.9914222222222222,0.008577777777777778,approval_focused_policy_high_approvals_lower_risk_capture,0.9348888888888889,0.6010362694300518,0.07712765957446809,0.13671184443134943,20919,77,1388,116
0.49000000000000016,0.9923555555555555,0.007644444444444444,approval_focused_policy_high_approvals_lower_risk_capture,0.9350222222222222,0.622093023255814,0.0711436170212766,0.1276849642004773,20931,65,1397,107
0.5000000000000002,0.9925777777777778,0.007422222222222222,approval_focused_policy_high_approvals_lower_risk_capture,0.9349777777777778,0.6227544910179641,0.06914893617021277,0.12447636146020347,20933,63,1400,104
0.5100000000000002,0.9928,0.0072,approval_focused_policy_high_approvals_lower_risk_capture,0.9350222222222222,0.6296296296296297,0.0678191489361702,0.12244897959183673,20936,60,1402,102
0.5200000000000002,0.9928888888888889,0.0071111111111111115,approval_focused_policy_high_approvals_lower_risk_capture,0.9350222222222222,0.63125,0.06715425531914894,0.12139423076923077,20937,59,1403,101
0.5300000000000002,0.9930666666666667,0.006933333333333333,approval_focused_policy_high_approvals_lower_risk_capture,0.9349333333333333,0.6282051282051282,0.06515957446808511,0.1180722891566265,20938,58,1406,98
0.5400000000000003,0.9932,0.0068,approval_focused_policy_high_approvals_lower_risk_capture,0.9349777777777778,0.6339869281045751,0.06449468085106383,0.11707905853952927,20940,56,1407,97
0.5500000000000003,0.9932,0.0068,approval_focused_policy_high_approvals_lower_risk_capture,0.9349777777777778,0.6339869281045751,0.06449468085106383,0.11707905853952927,20940,56,1407,97
0.5600000000000003,0.9933333333333333,0.006666666666666667,approval_focused_policy_high_approvals_lower_risk_capture,0.9350222222222222,0.64,0.06382978723404255,0.11608222490931076,20942,54,1408,96
0.5700000000000003,0.9933777777777778,0.006622222222222222,approval_focused_policy_high_approvals_lower_risk_capture,0.9350666666666667,0.6442953020134228,0.06382978723404255,0.1161524500907441,20943,53,1408,96
0.5800000000000003,0.9934222222222222,0.006577777777777778,approval_focused_policy_high_approvals_lower_risk_capture,0.9350222222222222,0.6418918918918919,0.06316489361702128,0.11501210653753027,20943,53,1409,95
0.5900000000000003,0.9935111111111111,0.006488888888888889,approval_focused_policy_high_approvals_lower_risk_capture,0.9349333333333333,0.636986301369863,0.061835106382978726,0.11272727272727273,20943,53,1411,93
