test_index,feasible,recourse_band,original_score_band,solver_status,original_score,new_score,score_gap_to_threshold,total_cost,changed_features
0,True,feasible,moderate_risk,gurobi_exact:Optimal,0.48150479793548584,0.27631351351737976,-0.14368648648262033,0.16360152258116958,"{""NumSatisfactoryTrades"": 0.08016877637130798, ""PercentTradesNeverDelq"": 0.029618081681465847, ""MSinceMostRecentInqexcl7days"": 0.1111111111111111}"
2,False,infeasible,very_high_risk,gurobi_exact:Optimal|refined_32,0.6388004422187805,0.4518616497516632,0.03186164975166311,0.28938911784477395,"{""NumSatisfactoryTrades"": 0.01848101265822788, ""PercentTradesNeverDelq"": 0.15000000000000002, ""MSinceMostRecentDelq"": 0.1951807228915663, ""RevolvingBurdenPerTrade"": -0.0017241379310344862}"
4,True,feasible,high_risk,gurobi_exact:Optimal|refined_1,0.5477101802825928,0.41837936639785767,-0.0016206336021424295,0.05603651193378791,"{""MSinceMostRecentInqexcl7days"": 0.08741587202772294}"
5,True,feasible,moderate_risk,gurobi_exact:Optimal,0.5095756649971008,0.26699650287628174,-0.15300349712371836,0.22262807534154602,"{""PercentTradesNeverDelq"": 0.06999999999999995, ""MSinceMostRecentDelq"": 0.10707191238755676, ""PercentInstallTrades"": 0.0222222222222222, ""MSinceMostRecentInqexcl7days"": 0.1111111111111111}"
7,False,infeasible,very_high_risk,gurobi_exact:Infeasible|refined_32,0.8046649694442749,0.629161536693573,0.2091615366935729,0.289852108703155,"{""PercentTradesNeverDelq"": 0.18999999999999906, ""MSinceMostRecentInqexcl7days"": 0.07000000000000003, ""NetFractionRevolvingBurden"": -0.03706896551724137, ""NumRevolvingTradesWBalance"": -0.0062500000000000056}"
8,True,feasible,near_threshold,gurobi_exact:Optimal,0.4691530764102936,0.3049193322658539,-0.11508066773414621,0.0881836620025291,"{""ExternalRiskEstimate"": 0.005972569983356046, ""MSinceMostRecentInqexcl7days"": 0.1111111111111111}"
10,False,infeasible,very_high_risk,gurobi_exact:Optimal|refined_32,0.925273060798645,0.6595300436019897,0.23953004360198965,1.1986919220734644,"{""NumSatisfactoryTrades"": 0.1848101265822785, ""PercentTradesNeverDelq"": 0.12, ""MSinceMostRecentDelq"": 0.19518072289156627, ""PercentInstallTrades"": -0.08000000000000007, ""MSinceMostRecentInqexcl7days"": 0.1111111111111111, ""NumInqLast6M"": -0.05555555555555558, ""NumInqLast6Mexcl7days"": -0.05296243843950185, ""NetFractionInstallBurden"": -0.048979591836734726, ""RevolvingBurdenPerTrade"": -0.038793103448275856, ""InstallBurdenPerTrade"": -0.017142857142857126}"
11,False,infeasible,very_high_risk,gurobi_exact:Infeasible|refined_32,0.7651199102401733,0.5005301237106323,0.08053012371063223,0.23280221021227662,"{""NumSatisfactoryTrades"": 0.05544303797468356, ""MSinceMostRecentDelq"": 0.0487951807228916, ""MSinceMostRecentInqexcl7days"": 0.12000000000000005, ""PercentTradesWBalance"": -0.13500000000000012}"
12,True,feasible,very_high_risk,gurobi_exact:Optimal,0.8279648423194885,0.41143670678138733,-0.008563293218612766,0.7088460170312465,"{""NumSatisfactoryTrades"": 0.09282700421940926, ""PercentTradesNeverDelq"": 0.17999999999999994, ""MSinceMostRecentInqexcl7days"": 0.1111111111111111, ""NetFractionRevolvingBurden"": -0.17403529087171027, ""PercentTradesWBalance"": -0.2533333333333334}"
13,True,feasible,near_threshold,gurobi_exact:Optimal,0.42252564430236816,0.2901277542114258,-0.12987224578857431,0.08592379622191895,"{""NumSatisfactoryTrades"": 0.002574087564030214, ""PercentTradesNeverDelq"": 0.040000000000000036, ""MSinceMostRecentInqexcl7days"": 0.06944444444444445}"
