model,trial,C,class_weight,auc_mean,pr_auc_mean,f1_mean,auc_std,pr_auc_std,f1_std,n_estimators,max_depth,min_samples_leaf,learning_rate,subsample,colsample_bytree
logistic_regression,1,0.1,,0.7897558900158808,0.7847025582147301,0.7524675782074637,0.005315807659133627,0.007768057742857353,0.010649290644088616,,,,,,
logistic_regression,2,1.0,balanced,0.7918266880537733,0.7872456817676328,0.7559128162516418,0.004869859561794329,0.0075833069171475365,0.00986029123350651,,,,,,
logistic_regression,3,1.0,,0.7918565093018806,0.7871349901547312,0.7549258618302521,0.004760941852912353,0.007477889385612506,0.011323509817705808,,,,,,
logistic_regression,4,2.0,balanced,0.7919638232223016,0.7873779712228701,0.7557573559395238,0.004621804479691471,0.007486212053401298,0.009671460893164872,,,,,,
logistic_regression,5,4.0,balanced,0.7919507571102896,0.7874913886254262,0.7558759796428625,0.004521658193930328,0.007591726984447542,0.009339732054019122,,,,,,
logistic_regression,6,0.25,balanced,0.7911056652330254,0.7863465393726363,0.7559004425548536,0.005016866111312367,0.007196132532804615,0.010007578846934543,,,,,,
logistic_regression,7,0.5,balanced,0.7916005021101722,0.7868379643509211,0.756588080122398,0.005041749272297834,0.0074974102166043876,0.010486046938745594,,,,,,
logistic_regression,8,0.25,,0.7911745550508154,0.7863328099992951,0.754300033057876,0.0050648027011665035,0.007318969820900358,0.011917603164801664,,,,,,
logistic_regression,9,0.5,,0.791623039319373,0.7868698919479462,0.754941670086896,0.0050537747601656375,0.0075361817430990045,0.01160244787822836,,,,,,
logistic_regression,10,4.0,,0.7919987701574319,0.7874095027194149,0.7548552922396132,0.0045502136163082865,0.007797042092624885,0.010891244903826869,,,,,,
logistic_regression,11,0.1,balanced,0.7898132376789112,0.7848553167052204,0.7533699685648858,0.005384496962731576,0.007703139108525642,0.012083760202569696,,,,,,
logistic_regression,12,2.0,,0.7920200291764453,0.7873715043484312,0.7553663446977982,0.0046103302852044505,0.007453219259725719,0.010886924267289476,,,,,,
random_forest,1,,,0.7943241672626182,0.792487840754664,0.7566372552133387,0.004550330204593129,0.0064635519395563985,0.006516826238091415,420.0,none,15.0,,,
random_forest,2,,,0.7936685668288327,0.7922952891597559,0.7563775325490234,0.005118883554971556,0.0064776379821419785,0.007423843885869609,320.0,8,15.0,,,
random_forest,3,,balanced,0.793897727158268,0.7912646728393807,0.7579760200997876,0.005099612589959415,0.007020165106165988,0.005949617591720088,420.0,8,1.0,,,
random_forest,4,,,0.7943550222768371,0.7921458206064773,0.757119682106392,0.005184135758199044,0.0067036339107719115,0.0065868207734571405,420.0,12,5.0,,,
random_forest,5,,,0.7928195542618092,0.7898368702008601,0.7555970485037558,0.005196138813933519,0.005951532651010951,0.007199752188786843,220.0,12,1.0,,,
random_forest,6,,balanced,0.7934447086216563,0.7911761595205569,0.7573568612115321,0.004795535847165078,0.006725288507876369,0.0061112223056823045,420.0,none,5.0,,,
random_forest,7,,balanced,0.7936371331540443,0.7904015395691059,0.7583304574013996,0.005462337218484499,0.00593118205581996,0.006143459585768274,220.0,8,1.0,,,
random_forest,8,,,0.7944296478345974,0.7924995751945612,0.757371754634565,0.005297625671870528,0.006161975975309493,0.005875904454372842,320.0,12,5.0,,,
random_forest,9,,balanced,0.7930087457150243,0.7900914641422896,0.757692708713782,0.004935886789110118,0.006820431502176854,0.005117733978438227,320.0,none,5.0,,,
random_forest,10,,balanced,0.7946329013943587,0.7929764542357557,0.7577817854791558,0.004677168826731155,0.006259773931894134,0.0062632814270350695,220.0,12,15.0,,,
random_forest,11,,,0.7942718794801288,0.7925753139319459,0.7556699442009374,0.004980461904249359,0.006303935219038873,0.006381859070334628,220.0,8,5.0,,,
random_forest,12,,,0.7941405277276955,0.7922936394863939,0.7554204597432274,0.004886601773272086,0.007044179022022408,0.006189237195249546,420.0,8,5.0,,,
random_forest,13,,balanced,0.7937876263669115,0.7921457464356451,0.7572969042119534,0.004574471871232156,0.005881504992540665,0.0062120876730246246,420.0,8,15.0,,,
random_forest,14,,,0.7942807123215923,0.7926912132304171,0.7562631251192329,0.005037769994437369,0.006945644105967356,0.006811830433874836,320.0,8,5.0,,,
random_forest,15,,balanced,0.7942411557431266,0.7920328422714945,0.7575573454220635,0.005134404156763019,0.006307634976184259,0.007201137356889194,220.0,none,15.0,,,
random_forest,16,,balanced,0.7891483401490047,0.7836601180013479,0.7539242537334381,0.0051279909955355505,0.006155431365198532,0.006971463511459662,220.0,none,1.0,,,
random_forest,17,,,0.7889834990246539,0.7853872794557593,0.7520073391753823,0.005459152198791676,0.007422913658854563,0.0048322898468983804,320.0,none,1.0,,,
random_forest,18,,balanced,0.7941824209398913,0.7917852206640541,0.7597236683177957,0.005477769852921853,0.0067885131173084316,0.005589505044537693,320.0,12,5.0,,,
random_forest,19,,balanced,0.7945682349425703,0.7932079779281775,0.7560260728057294,0.004753094467895213,0.007400588700838434,0.0060703344316866475,320.0,8,5.0,,,
random_forest,20,,balanced,0.7903527945091877,0.78629811488654,0.7551192070369801,0.0053972066870244615,0.006757659765192076,0.006094401903950142,420.0,none,1.0,,,
random_forest,21,,,0.7933774644695359,0.7902567514205552,0.7569281988350592,0.005576300782988121,0.007046857704971049,0.005918973028246192,320.0,8,1.0,,,
random_forest,22,,,0.7944811148826731,0.7921709719915654,0.7565335831530758,0.005259089010424446,0.005481046713016326,0.006171610524309848,220.0,12,5.0,,,
random_forest,23,,,0.7935283083705174,0.79040611539161,0.7560705559537445,0.005478139321086259,0.006068044248771304,0.007724337485660772,320.0,none,5.0,,,
random_forest,24,,balanced,0.7946034534973123,0.7922243870088488,0.7592107461169004,0.005008747126253904,0.006927092372827181,0.0052224713168965075,420.0,12,5.0,,,
random_forest,25,,balanced,0.7933909682282276,0.7893331882073821,0.7567354256461524,0.005530982207669034,0.007023069646813851,0.006439806304133346,420.0,12,1.0,,,
random_forest,26,,,0.7934873287268795,0.7906540032525881,0.7567961419831201,0.005186125223950787,0.00561947239187481,0.00633184598045294,220.0,none,5.0,,,
random_forest,27,,balanced,0.7944746274043708,0.7925723542403722,0.7577146000462786,0.004765102013006275,0.006406419446239281,0.006036610856584219,420.0,12,15.0,,,
random_forest,28,,balanced,0.7937525177694289,0.7912461164139131,0.7578973560272629,0.005280408319583108,0.006828741857500112,0.006195594191868786,320.0,8,1.0,,,
random_forest,29,,balanced,0.7936462067263625,0.7918769106891027,0.7564639842077314,0.004602984432664328,0.005763566459147305,0.006192538505542123,320.0,8,15.0,,,
random_forest,30,,balanced,0.7942706101872463,0.7919742481249967,0.7577569959538348,0.0049772750217270565,0.006043207039471446,0.006499384040441957,320.0,none,15.0,,,
random_forest,31,,,0.7942005504577916,0.7922964556450983,0.7565309404244724,0.004651808327343086,0.00609712088878642,0.006408247015939301,220.0,none,15.0,,,
random_forest,32,,,0.7895334137448253,0.7857057885675583,0.7521381178538628,0.005618898112852559,0.007418420387441069,0.0062178080596030205,420.0,none,1.0,,,
