score_bin,n,avg_pred,event_rate,abs_gap
0,157,0.15585501715066327,0.10828025477707007,0.047574762373593205
1,157,0.22299961812177282,0.2484076433121019,0.025408025190329087
2,157,0.2917534714671457,0.24203821656050956,0.04971525490663614
3,157,0.4070221290087244,0.4394904458598726,0.032468316851148205
4,157,0.4873550353915828,0.45222929936305734,0.03512573602852548
5,156,0.5723263013821381,0.5961538461538461,0.02382754477170801
6,157,0.6752183684118235,0.6560509554140127,0.019167412997810773
7,157,0.7568674379852927,0.7770700636942676,0.02020262570897491
8,157,0.8243082374524159,0.7834394904458599,0.04086874700655596
9,157,0.9005285304063445,0.9171974522292994,0.016668921822954874
