feature,count
MSinceMostRecentInqexcl7days,66
NumSatisfactoryTrades,54
PercentTradesNeverDelq,34
MSinceMostRecentDelq,31
PercentInstallTrades,30
NetFractionRevolvingBurden,29
ExternalRiskEstimate,29
PercentTradesWBalance,18
NumInqLast6M,16
NumRevolvingTradesWBalance,14
NumBank2NatlTradesWHighUtilization,10
RevolvingBurdenPerTrade,9
InstallBurdenPerTrade,7
InquiryToTradeRatio,4
NumInstallTradesWBalance,4
NetFractionInstallBurden,3
NumInqLast6Mexcl7days,2
MSinceMostRecentTradeOpen,2
NumTrades60Ever2DerogPubRec,1
NumTradesOpeninLast12M,1
