repeat,fold,model,auc,pr_auc,brier,log_loss,accuracy,precision,recall,f1
1,1,xcreditscore,0.7938479853479853,0.7932339740073765,0.18540814518928528,0.5525243050178236,0.7155831739961759,0.6799420709630702,0.8598901098901099,0.7594015365952285
1,1,logistic_regression,0.7938901098901099,0.795433658803735,0.18446153996878834,0.5490285889039275,0.7065009560229446,0.6668994413407822,0.8745421245421245,0.7567353407290016
1,1,random_forest,0.7820668498168498,0.777834196128417,0.18967991179623764,0.5628898338328796,0.7031548757170172,0.6632016632016632,0.8763736263736264,0.7550295857988165
1,1,xgboost,0.7839441391941393,0.7833056772029682,0.1905307024717331,0.5652054217312653,0.7108030592734226,0.6786500366837858,0.8470695970695971,0.7535641547861507
1,2,xcreditscore,0.7854560439560438,0.7724007732247825,0.18892802298069,0.5626656272210897,0.7060229445506692,0.6685512367491167,0.8663003663003663,0.7546868767451137
1,2,logistic_regression,0.7947032967032966,0.7803630037005036,0.18470494622578215,0.5531788507909613,0.7079349904397706,0.6668979875086746,0.88003663003663,0.7587840505329648
1,2,random_forest,0.7845544871794872,0.7742207552264175,0.18890430039183884,0.5612327722679208,0.6964627151051626,0.6559726962457337,0.88003663003663,0.751662104028158
1,2,xgboost,0.7814029304029304,0.7798976583762991,0.19120602309703827,0.5681487212652084,0.7021988527724665,0.6685837526959022,0.8516483516483516,0.7490938380990737
1,3,xcreditscore,0.7927174908424908,0.7848269354024533,0.18649251759052277,0.5565000242322957,0.7093690248565966,0.664179104477612,0.8965201465201466,0.7630553390491036
1,3,logistic_regression,0.788459706959707,0.7771631945241141,0.18662947743160546,0.5567149219511217,0.7112810707456979,0.6675824175824175,0.8901098901098901,0.7629513343799058
1,3,random_forest,0.7937870879120879,0.785287264028761,0.18462769040575158,0.549549069612247,0.7026768642447419,0.6572958500669344,0.8992673992673993,0.7594740912606341
1,3,xgboost,0.787315934065934,0.7734145226327643,0.18775294721126556,0.5627953011020304,0.7141491395793499,0.675177304964539,0.8717948717948718,0.7609912070343725
1,4,xcreditscore,0.7916785714285716,0.7987923069795678,0.18660037219524384,0.5540580482963451,0.6931166347992351,0.6524390243902439,0.8818681318681318,0.75
1,4,logistic_regression,0.7846744505494506,0.7923100756065187,0.18939578904234475,0.5627154310882665,0.6763862332695985,0.6410605030591434,0.8635531135531136,0.7358564182598517
1,4,random_forest,0.7850471611721611,0.7881090326848812,0.18945096918032334,0.5623677072548856,0.6859464627151052,0.6458752515090543,0.8818681318681318,0.7456445993031359
1,4,xgboost,0.7865457875457875,0.7940314989348698,0.1897808313369751,0.5646880372336088,0.6974187380497132,0.6612789880534083,0.8617216117216118,0.74831013916501
1,5,xcreditscore,0.8036810265811183,0.7986055698123078,0.18151110410690308,0.5431144274313012,0.7116212338593975,0.6708683473389355,0.8780934922089826,0.760619293370385
1,5,logistic_regression,0.797582951420715,0.7909528486996729,0.18341550440942075,0.5476231713809245,0.7125777140124342,0.6689655172413793,0.8890925756186985,0.7634789452971271
1,5,random_forest,0.7944344637946837,0.7863611950471978,0.1847183109428188,0.5498565537100066,0.7039693926351028,0.6592442645074224,0.8955087076076994,0.7594247959580257
1,5,xgboost,0.7971805682859762,0.7858621877091014,0.18345285952091217,0.5491527867775754,0.7197513151602104,0.6823104693140795,0.8661778185151238,0.7633279483037156
2,1,xcreditscore,0.7992619047619047,0.7875467430945537,0.18314284086227417,0.5489097437968684,0.7217973231357553,0.6816239316239316,0.8763736263736264,0.7668269230769231
2,1,logistic_regression,0.7957051282051283,0.7862045834524836,0.18395940873319222,0.5518751475001431,0.7117590822179732,0.6708595387840671,0.8791208791208791,0.760998810939358
2,1,random_forest,0.7953044871794871,0.7767576952954505,0.1845683481721955,0.5522867547566754,0.7012428298279159,0.6570275722932079,0.8946886446886447,0.7576580069794494
2,1,xgboost,0.7948626373626374,0.7862123242637716,0.18457399308681488,0.5530156603800933,0.7112810707456979,0.673049645390071,0.8690476190476191,0.7585931254996003
2,2,xcreditscore,0.7748484432234433,0.7657664999702917,0.19283422827720642,0.5710722128024909,0.6974187380497132,0.6560163154316792,0.8836996336996337,0.7530238002341006
2,2,logistic_regression,0.7707522893772896,0.7594247315595036,0.19445217189909203,0.5743779407074024,0.6873804971319312,0.6477732793522267,0.8791208791208791,0.745920745920746
2,2,random_forest,0.7681666666666667,0.7571185593336547,0.19525452184259776,0.5775851652221535,0.6835564053537285,0.6421957671957672,0.8891941391941391,0.7457757296466974
2,2,xgboost,0.7720599816849816,0.7690642818271904,0.1957627683877945,0.5792753393145942,0.6959847036328872,0.6619318181818182,0.8534798534798534,0.7456
2,3,xcreditscore,0.7957445054945056,0.7853202774272967,0.1842023730278015,0.5506056207722414,0.7141491395793499,0.6734550561797753,0.8782051282051282,0.7623211446740858
2,3,logistic_regression,0.7971804029304029,0.7879656343063328,0.1833811212355349,0.5483893765755254,0.7117590822179732,0.6713384723195515,0.8772893772893773,0.760619293370385
2,3,random_forest,0.7942559523809524,0.7814744238352362,0.18486743444819123,0.5522702895095409,0.6964627151051626,0.6553365057783821,0.8827838827838828,0.7522434646898166
2,3,xgboost,0.786658424908425,0.7736256295583008,0.18867850303649902,0.5652318969193125,0.7084130019120459,0.6738816738816739,0.8553113553113553,0.7538337368845843
2,4,xcreditscore,0.7925943223443224,0.7962941999225815,0.18559959530830383,0.5516336610124488,0.6978967495219885,0.6633522727272727,0.8553113553113553,0.7472
2,4,logistic_regression,0.7837875457875458,0.7884718457699669,0.189499704815545,0.5626997391000139,0.6902485659655831,0.6561181434599156,0.8543956043956044,0.7422434367541766
