feature,mean_abs_effect,mean_signed_effect,positive_effect_rate,top_reason_rate
ExternalRiskEstimate,0.7263938086556823,0.7263938086556823,1.0,0.7845761631612492
MSinceMostRecentInqexcl7days,0.5017242975191665,0.5017242975191665,0.9993626513702996,0.7947737412364564
AverageMInFile,0.2691650677856991,0.2691650677856991,1.0,0.6048438495857233
NetFractionRevolvingBurden,0.2112649457696576,0.2112649457696576,0.9318036966220523,0.3078393881453155
PercentTradesNeverDelq,0.2054563921213226,0.2054563921213226,0.5506692160611855,0.44805608667941366
NumSatisfactoryTrades,0.134577341660046,0.134577341660046,1.0,0.29381771829190567
MSinceOldestTradeOpen,0.10204985382108755,0.10204985382108755,0.9968132568514978,0.20968769917144678
MSinceMostRecentDelq,0.0763436057048278,0.0763436057048278,0.97131931166348,0.22880815806246016
PercentTradesWBalance,0.05318676706318988,0.05318676705410186,0.6424474187380497,0.07329509241555131
PercentInstallTrades,0.04607639879459715,0.03968843532997879,0.455704270235819,0.07202039515615041
NumInqLast6M,0.044283387879796514,0.044283387879796514,0.6347992351816444,0.08094327597195666
NumRevolvingTradesWBalance,0.02765244127555713,0.02765244127555713,0.43530911408540474,0.04652644996813257
NumBank2NatlTradesWHighUtilization,0.022622827318371758,0.022622827318371758,0.5723390694710007,0.032504780114722756
InquiryToTradeRatio,0.016812557278294768,0.016812557278294768,0.6347992351816444,0.007010834926704908
RevolvingBurdenPerTrade,0.012213960185225867,0.012213960185225867,0.9318036966220523,0.0012746972594008922
InstallBurdenPerTrade,0.010602354361320915,0.010602354361320915,0.9974506054811982,0.009560229445506692
MaxDelqEver,0.008255171010792432,0.008255171010792432,0.9094964945825367,0.0
NumTotalTrades,0.0030544421894573314,-0.002386767014939245,0.31994901210962395,0.0
NumInqLast6Mexcl7days,0.002626169299608283,0.002626169299608283,0.014659018483110261,0.0019120458891013384
NetFractionInstallBurden,0.0024361838847014048,0.0024361838847014048,0.7578075207138305,0.0
NumTrades90Ever2DerogPubRec,0.0008800361077541603,0.0008800361077541603,0.03441682600382409,0.0
NumTradesOpeninLast12M,0.0008546064355231969,0.0008546064355231969,0.28107074569789675,0.0012746972594008922
MaxDelq2PublicRecLast12M,0.0002328442341966793,0.0002328442341966793,0.0012746972594008922,0.0012746972594008922
MSinceMostRecentTradeOpen,6.222818724719451e-07,-3.172851889403556e-07,0.47036328871892924,0.0
NumInstallTradesWBalance,4.018159214946527e-08,4.018159214946527e-08,0.7367750159337157,0.0
NumTrades60Ever2DerogPubRec,0.0,0.0,0.0,0.0
TotalDelqEvents,0.0,0.0,0.0,0.0
