test_index,perturbations,exact_match_rate,jaccard_mean
0,8,0.5,0.8
1,8,0.625,0.85
2,8,1.0,1.0
3,8,0.625,0.85
4,8,1.0,1.0
5,8,0.75,0.9
6,8,0.875,0.95
7,8,1.0,1.0
8,8,1.0,1.0
9,8,0.625,0.8499999999999999
10,8,1.0,1.0
11,8,1.0,1.0
12,8,1.0,1.0
13,8,0.875,0.95
14,8,0.25,0.7
15,8,0.625,0.85
16,8,0.875,0.95
17,8,1.0,1.0
18,8,1.0,1.0
19,8,0.75,0.9
20,8,1.0,1.0
21,8,0.25,0.7
22,8,0.5,0.8
23,8,1.0,1.0
24,8,0.875,0.95
25,8,0.875,0.95
26,8,0.25,0.7
27,8,0.375,0.75
28,8,1.0,1.0
29,8,0.875,0.95
30,8,0.5,0.8
31,8,1.0,1.0
32,8,0.75,0.8999999999999999
33,8,0.0,0.6
34,8,0.75,0.8999999999999999
35,8,0.5,0.7999999999999999
36,8,1.0,1.0
37,8,0.5,0.8
38,8,1.0,1.0
39,8,1.0,1.0
40,8,0.75,0.9
41,8,1.0,1.0
42,8,0.875,0.95
43,8,0.75,0.9
44,8,1.0,1.0
45,8,1.0,1.0
46,8,0.625,0.8499999999999999
47,8,1.0,1.0
48,8,0.375,0.75
49,8,0.875,0.95
50,8,1.0,1.0
51,8,0.125,0.65
52,8,0.375,0.75
53,8,0.875,0.95
54,8,0.625,0.8499999999999999
55,8,1.0,1.0
56,8,0.875,0.95
57,8,0.375,0.75
58,8,0.5,0.7999999999999999
59,8,0.75,0.9
60,8,1.0,1.0
61,8,0.75,0.8999999999999999
62,8,0.875,0.95
63,8,0.875,0.95
64,8,0.75,0.9
65,8,1.0,1.0
66,8,1.0,1.0
67,8,0.625,0.85
68,8,0.625,0.8499999999999999
69,8,0.375,0.75
70,8,1.0,1.0
71,8,1.0,1.0
72,8,0.875,0.95
73,8,1.0,1.0
74,8,0.75,0.8999999999999999
75,8,0.75,0.9
76,8,0.75,0.8999999999999999
77,8,0.875,0.95
78,8,1.0,1.0
79,8,0.75,0.8999999999999999
80,8,0.875,0.95
81,8,1.0,1.0
82,8,0.875,0.95
83,8,1.0,1.0
84,8,0.625,0.85
85,8,0.75,0.8999999999999999
86,8,1.0,1.0
87,8,1.0,1.0
88,8,0.75,0.8999999999999999
89,8,0.75,0.8999999999999999
90,8,0.625,0.8499999999999999
91,8,0.625,0.8499999999999999
92,8,0.5,0.8
93,8,1.0,1.0
