section,name,value
xcreditscore,auc,0.7934822954822954
xcreditscore,pr_auc,0.7953678451215533
xcreditscore,brier,0.18486352264881134
xcreditscore,log_loss,0.5501927944196611
xcreditscore,accuracy,0.7170172084130019
xcreditscore,precision,0.6873126873126874
xcreditscore,recall,0.8400488400488401
xcreditscore,f1,0.756043956043956
baseline:logistic_regression,auc,0.7914863654863655
baseline:logistic_regression,pr_auc,0.798763002519105
baseline:logistic_regression,f1,0.7513935340022296
baseline:logistic_regression,accuracy,0.715742511153601
baseline:random_forest,auc,0.7877232397232397
baseline:random_forest,pr_auc,0.7814919225500503
baseline:random_forest,f1,0.7543668122270742
baseline:random_forest,accuracy,0.7131931166347992
baseline:xgboost,auc,0.7934236874236874
baseline:xgboost,pr_auc,0.7805368960695711
baseline:xgboost,f1,0.7548022598870057
baseline:xgboost,accuracy,0.7233906947100064
baseline:monotone_xgboost,auc,0.7916849816849817
baseline:monotone_xgboost,pr_auc,0.7926893228636707
baseline:monotone_xgboost,f1,0.7505694760820045
baseline:monotone_xgboost,accuracy,0.7208413001912046
baseline:ebm,auc,0.7944281644281643
baseline:ebm,pr_auc,0.7982186557396771
baseline:ebm,f1,0.7541899441340782
baseline:ebm,accuracy,0.7195666029318037
baseline:monotone_gam,auc,0.7962238502238501
baseline:monotone_gam,pr_auc,0.7997930585586461
baseline:monotone_gam,f1,0.7589285714285714
baseline:monotone_gam,accuracy,0.7246653919694073
objective_sweep:f1,threshold,0.35000000000000003
objective_sweep:f1,f1,0.7587650444793302
objective_sweep:precision,threshold,0.7000000000000004
objective_sweep:precision,f1,0.6253776435045317
objective_sweep:recall,threshold,0.3
objective_sweep:recall,f1,0.7478524507326932
