model,trial,interactions,learning_rate,max_bins,outer_bags,auc_mean,pr_auc_mean,f1_mean,auc_std,pr_auc_std,f1_std,lam,n_splines,spline_order,max_iter
ebm,1,10.0,0.05,128.0,8.0,0.7951970410585443,0.7921365858612528,0.755576116155475,0.0052799379493745115,0.007495735275834956,0.008072830783660355,,,,
ebm,2,5.0,0.02,512.0,8.0,0.7952608735138983,0.7928276819882998,0.7560057353174605,0.004681115448593078,0.0074829478041758485,0.009357879441466937,,,,
ebm,3,5.0,0.01,128.0,8.0,0.7951181048404696,0.7930093639111293,0.7572260026287262,0.004939055404283113,0.00783569095962641,0.009604101389203938,,,,
ebm,4,5.0,0.02,128.0,14.0,0.7954564335908515,0.7928140531520433,0.7553908294247349,0.005096510917401987,0.007359967611507998,0.009475373328685662,,,,
ebm,5,10.0,0.01,256.0,14.0,0.7949378857317445,0.7925780482124227,0.7570209379192117,0.005082350672324553,0.008194971402183625,0.008993751748332376,,,,
ebm,6,10.0,0.01,128.0,14.0,0.7949333482740908,0.792753969338334,0.7569030202546856,0.00518298706592748,0.007827921782809454,0.009285054552825835,,,,
ebm,7,15.0,0.02,128.0,8.0,0.7954774582582098,0.792913066631008,0.7557533617229992,0.004941234879211754,0.00743109989011999,0.009225830874131553,,,,
ebm,8,10.0,0.05,256.0,8.0,0.7951937396547846,0.7924437739540565,0.7546689112968069,0.0052202543530251635,0.007074092632662089,0.009529889476021826,,,,
ebm,9,5.0,0.05,256.0,14.0,0.7952050887548138,0.7922794854605394,0.7548972381984852,0.005174004908895902,0.007090223206721291,0.009229735309294877,,,,
ebm,10,5.0,0.02,512.0,14.0,0.795172284391441,0.7925390450454475,0.756384989333255,0.004863138667294009,0.0076278458566920344,0.009226309195746442,,,,
ebm,11,15.0,0.01,256.0,14.0,0.7949378857317445,0.7925780482124227,0.7570209379192117,0.005082350672324553,0.008194971402183625,0.008993751748332376,,,,
ebm,12,15.0,0.02,256.0,14.0,0.7953419613689091,0.7927479489799513,0.7556759013206162,0.005096703630630031,0.007336886785761959,0.009273973431508986,,,,
ebm,13,10.0,0.02,256.0,8.0,0.7954691844360956,0.7930800835108495,0.7559389066329663,0.004841366795650028,0.007263088294218268,0.009680667001753395,,,,
ebm,14,0.0,0.05,512.0,14.0,0.7950494648187132,0.7920841026005663,0.7552467703667954,0.00478313569967527,0.007435801485902156,0.010234414906610105,,,,
ebm,15,0.0,0.01,512.0,8.0,0.7948613091460938,0.7927373748869877,0.7571243707970827,0.004560145047081843,0.008419504003481374,0.009997118805299073,,,,
ebm,16,5.0,0.02,128.0,8.0,0.7954774582582098,0.792913066631008,0.7557533617229992,0.004941234879211754,0.00743109989011999,0.009225830874131553,,,,
ebm,17,5.0,0.01,256.0,14.0,0.7949378857317445,0.7925780482124227,0.7570209379192117,0.005082350672324553,0.008194971402183625,0.008993751748332376,,,,
