epochs,batch_size,calibration_keypoints,lattice_size,learning_rate,early_stopping_patience,grouping_mode,max_group_dim,tune_profile,cv_splits,cv_repeats,cv_folds,auc_mean,auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,brier_mean,log_loss_mean,fallback_count,all_lattice,balanced_score,risk_heavy_score,composite_score
36,128,10,3,0.005,6,correlation,2,final,5,1,5,0.7931116114865886,0.005823295374400981,0.7895649007847976,0.013152755914177182,0.7571510278635065,0.006080638417168668,0.18547173738479614,0.5526462558432887,0,True,1.7307314891810293,1.7748635497427279,1.7307314891810293
36,128,15,3,0.005,6,fixed,3,final,5,1,5,0.7929418300916925,0.006166166955905997,0.7892001682771083,0.011419718829104407,0.7583872208511433,0.006340962144720638,0.18561772406101226,0.5532266658252857,0,True,1.73058273094332,1.7749304926316565,1.73058273094332
36,128,15,4,0.005,4,fixed,2,final,5,1,5,0.7929163214344468,0.007357846606490297,0.7889488372052964,0.012642188108478503,0.7579276298737537,0.005410116943594124,0.18574171662330627,0.5535255057946852,0,True,1.729946703223819,1.7741675733424755,1.729946703223819
28,128,15,4,0.005,6,fixed,2,final,5,1,5,0.7928164260197488,0.0054458237494077084,0.7899300681355818,0.009892428988039118,0.7584065364466136,0.006059184419173451,0.18599897921085357,0.5540464175971491,0,True,1.7308337203774644,1.775242428396538,1.7308337203774644
36,128,10,3,0.005,4,fixed,2,final,5,1,5,0.792475740742606,0.00569570907652501,0.7882238328685292,0.011038626792629496,0.7560999371392209,0.006113402061403654,0.18602543473243713,0.5542586406580775,0,True,1.727553931003931,1.7713882215372032,1.727553931003931
28,128,15,3,0.005,4,correlation,2,final,5,1,5,0.7921505021101721,0.005419686832917995,0.7891233837212275,0.011905200886496888,0.7562648213816761,0.007127221234093624,0.1859137237071991,0.5534428615174172,0,True,1.728518550249702,1.7725816094002547,1.728518550249702
28,128,20,4,0.005,4,fixed,3,final,5,1,5,0.7918985138982618,0.006767445853135466,0.7887800173042854,0.0107679466245914,0.75533685333939,0.006952004010024122,0.18656543493270875,0.5555718523231447,0,True,1.7265837225725997,1.770370799575097,1.7265837225725997
28,128,10,3,0.005,4,fixed,3,final,5,1,5,0.7916216609085994,0.005980307665070349,0.7875291649442238,0.01181761943322194,0.7545976786331228,0.006284455894808492,0.18639350533485413,0.555122571605496,0,True,1.7248780640404902,1.7684700554995425,1.7248780640404902
20,128,15,4,0.005,4,fixed,2,final,5,1,5,0.7915509838236924,0.004784479158646825,0.788509882264416,0.010399864891898557,0.7548953208000404,0.00531144590589169,0.1870003342628479,0.5565137509265593,0,True,1.7253286468112632,1.7690228148866467,1.7253286468112632
28,128,20,3,0.005,6,correlation,2,final,5,1,5,0.7914616897157227,0.005435810686518491,0.787860638542183,0.011424596008293555,0.7566601967438334,0.005340985005319453,0.1862509936094284,0.5544701631244038,0,True,1.7263376708143954,1.7704399279180159,1.7263376708143954
36,128,20,3,0.003,4,fixed,2,final,5,1,5,0.791448182851368,0.005536969325776855,0.7884560681232251,0.010792267793880593,0.7556416769529278,0.0056115028457050615,0.1867222309112549,0.5557955888614223,0,True,1.7258521871673083,1.7697467133568718,1.7258521871673083
28,128,10,3,0.005,4,fixed,2,final,5,1,5,0.7913349695980768,0.0053180803559935595,0.7867724515499116,0.01197162621423912,0.7566540632881058,0.007379277140503653,0.1864624559879303,0.5553751357457697,0,True,1.724760664083436,1.7687329711891444,1.724760664083436
36,128,10,4,0.005,4,correlation,3,final,5,1,5,0.7911977460440568,0.00611089567550472,0.786812974187795,0.013891631378810413,0.7559393610162153,0.004966251462728684,0.18667421042919158,0.5558052653061182,0,True,1.7241137157969797,1.7679530729448847,1.7241137157969797
36,128,20,3,0.003,4,correlation,2,final,5,1,5,0.7910624075435716,0.006566632284203046,0.7889311145038622,0.013037376035553886,0.7559356326596463,0.0063074819875066045,0.18641550540924073,0.5545110090621436,0,True,1.7265993841236584,1.7707415901441526,1.7265993841236584
20,128,20,3,0.005,6,fixed,2,final,5,1,5,0.7907961253076286,0.005059568203957971,0.7863264592215857,0.012986299370181965,0.7557117464506441,0.005925484178401426,0.186843079328537,0.5563009654185187,0,True,1.7229045039923474,1.7667052258721836,1.7229045039923474
28,128,20,4,0.003,6,fixed,3,final,5,1,5,0.7907911657316102,0.006590502103603141,0.787572021392851,0.011662642751497837,0.7557364370168085,0.005688353286369295,0.18743858337402344,0.557625987921303,0,True,1.7235745931856046,1.7674395501858646,1.7235745931856046
28,128,20,4,0.005,4,fixed,2,final,5,1,5,0.7906531487226491,0.007465230191880532,0.7864939786888738,0.010407156945287254,0.7558183101896214,0.008172478980020473,0.18670267164707183,0.5558910035111618,0,True,1.7231538969480127,1.7670417769347364,1.7231538969480127
36,128,15,3,0.003,6,correlation,3,final,5,1,5,0.7906115534022959,0.007647787947461286,0.786947074970938,0.011518653914030607,0.7554318440976301,0.006107885862877252,0.18677833378314973,0.5557013111222886,0,True,1.7234234247726181,1.7672971248526645,1.7234234247726181
20,128,10,3,0.005,6,fixed,3,final,5,1,5,0.7906096058997525,0.005060843830720371,0.7856589249102965,0.011717146552087698,0.7565069785208665,0.005772837439580488,0.1872365117073059,0.5575341942867666,0,True,1.7219377497286528,1.765806407029567,1.7219377497286528
28,128,20,4,0.005,4,correlation,3,final,5,1,5,0.7905938969524213,0.006833569666369387,0.7854014487755971,0.0131489274405041,0.7558304248010981,0.003015294898266639,0.18651715517044068,0.5555261951707829,0,True,1.7221729587847052,1.7659840994734612,1.7221729587847052
36,128,20,3,0.003,4,correlation,3,final,5,1,5,0.790378845734162,0.006674591585096076,0.7855565367924663,0.014507833928587557,0.7568070982056584,0.004054290678494927,0.18687902987003327,0.5563993324372152,0,True,1.7222233593024256,1.7662446968541108,1.7222233593024256
36,128,20,3,0.002,6,correlation,2,final,5,1,5,0.7901589616005747,0.005181368982115668,0.7866113701890819,0.009960180820019588,0.7547852571189276,0.007187088277749966,0.18719631433486938,0.5570089544632433,0,True,1.7217705634200113,1.7655065118194282,1.7217705634200113
28,128,10,4,0.003,6,correlation,2,final,5,1,5,0.7901435465161175,0.0053240232533837166,0.7856056057508337,0.011529796926577749,0.7533471693037479,0.006978798379528914,0.18722942471504211,0.5571139301169691,0,True,1.7199869764348774,1.7633325650616387,1.7199869764348774
36,256,10,3,0.005,4,correlation,2,final,5,1,5,0.7900455566355429,0.004571363834038824,0.7868078936224404,0.011741330298416468,0.7533533409636816,0.006335417029061423,0.187234628200531,0.5569298775566713,0,True,1.7211577379548828,1.7646535903049212,1.7211577379548828
36,256,15,4,0.005,4,fixed,2,final,5,1,5,0.78990126484423,0.004459773468437831,0.7870472052641089,0.007976596039127612,0.7548710640979174,0.007148223540991177,0.1872631549835205,0.5572107280641495,0,True,1.721907616338141,1.7657457603120816,1.721907616338141
20,128,20,3,0.005,4,correlation,3,final,5,1,5,0.7898891812968578,0.00747347503117051,0.7852892105633652,0.010832226786223031,0.7568042452042245,0.004024050852994979,0.18708794116973876,0.5567591035087013,0,True,1.7212972400003423,1.7653712186627168,1.7212972400003423
36,256,15,3,0.005,4,correlation,3,final,5,1,5,0.7897834167665515,0.005133378959714982,0.7872876441462487,0.01175199183540187,0.7550754401874535,0.0029465274788320365,0.18715168237686158,0.5567290372997762,0,True,1.722323281476233,1.7662739987100493,1.722323281476233
36,128,10,4,0.003,6,correlation,2,final,5,1,5,0.7897698562665566,0.005496639703898676,0.787982188579514,0.011196627855367224,0.7535903435869191,0.007383882553535027,0.18724582195281983,0.5566068418167551,0,True,1.722285657613102,1.766017631844288,1.722285657613102
28,128,10,4,0.003,6,fixed,2,final,5,1,5,0.789598711653455,0.005991056887874533,0.7856123665044443,0.012036664616797855,0.7541483586728771,0.006633836811326125,0.18773688673973082,0.5586233889798596,0,True,1.7192196940034405,1.7627596906087768,1.7192196940034405
28,128,15,3,0.003,6,correlation,3,final,5,1,5,0.7895383246374769,0.00643864928660032,0.7849546043577816,0.011152048165375532,0.7549769206058551,0.006687021248137383,0.187442284822464,0.5576075117530102,0,True,1.7193303032201397,1.7630331072619432,1.7193303032201397
20,128,15,4,0.005,4,correlation,3,final,5,1,5,0.7894591215002535,0.008294855545953128,0.785692147482367,0.013508241744728958,0.7537770845139269,0.006671690076570543,0.18742300868034362,0.5575525324507988,0,True,1.7194118231457356,1.7629670038741672,1.7194118231457356
20,128,15,3,0.005,4,correlation,2,final,5,1,5,0.7894578689108019,0.0072159990747095466,0.7881377290288132,0.010814532552339585,0.7531815189010641,0.006799826112432616,0.1873232901096344,0.5566970642119474,0,True,1.7218777268940388,1.7656013765843752,1.7218777268940388
