check_type,feature,direction,checks,violations,violation_rate,violation_rate_ci95_low,violation_rate_ci95_high,tested_steps,epsilon
single_feature,ExternalRiskEstimate,-1,6276,0,0.0,0.0,0.0,"0.1,0.05,0.02,0.01",1e-06
single_feature,MSinceOldestTradeOpen,-1,6256,0,0.0,0.0,0.0,"0.1,0.05,0.02,0.01",1e-06
single_feature,AverageMInFile,-1,6276,0,0.0,0.0,0.0,"0.1,0.05,0.02,0.01",1e-06
single_feature,NumSatisfactoryTrades,-1,6276,0,0.0,0.0,0.0,"0.1,0.05,0.02,0.01",1e-06
single_feature,NumTrades60Ever2DerogPubRec,1,1848,0,0.0,0.0,0.0,"0.1,0.05,0.02,0.01",1e-06
single_feature,NumTrades90Ever2DerogPubRec,1,1276,0,0.0,0.0,0.0,"0.1,0.05,0.02,0.01",1e-06
single_feature,PercentTradesNeverDelq,-1,3456,0,0.0,0.0,0.0,"0.1,0.05,0.02,0.01",1e-06
single_feature,MSinceMostRecentDelq,-1,6276,0,0.0,0.0,0.0,"0.1,0.05,0.02,0.01",1e-06
single_feature,MaxDelq2PublicRecLast12M,1,6084,0,0.0,0.0,0.0,"0.1,0.05,0.02,0.01",1e-06
single_feature,MaxDelqEver,1,5864,0,0.0,0.0,0.0,"0.1,0.05,0.02,0.01",1e-06
single_feature,NumTradesOpeninLast12M,1,4780,0,0.0,0.0,0.0,"0.1,0.05,0.02,0.01",1e-06
single_feature,MSinceMostRecentInqexcl7days,-1,6272,0,0.0,0.0,0.0,"0.1,0.05,0.02,0.01",1e-06
single_feature,NumInqLast6M,1,3984,0,0.0,0.0,0.0,"0.1,0.05,0.02,0.01",1e-06
single_feature,NumInqLast6Mexcl7days,1,3908,0,0.0,0.0,0.0,"0.1,0.05,0.02,0.01",1e-06
single_feature,NetFractionRevolvingBurden,1,5848,0,0.0,0.0,0.0,"0.1,0.05,0.02,0.01",1e-06
single_feature,NetFractionInstallBurden,1,6260,0,0.0,0.0,0.0,"0.1,0.05,0.02,0.01",1e-06
single_feature,NumRevolvingTradesWBalance,1,6044,0,0.0,0.0,0.0,"0.1,0.05,0.02,0.01",1e-06
single_feature,NumInstallTradesWBalance,1,4624,0,0.0,0.0,0.0,"0.1,0.05,0.02,0.01",1e-06
single_feature,NumBank2NatlTradesWHighUtilization,1,3592,0,0.0,0.0,0.0,"0.1,0.05,0.02,0.01",1e-06
single_feature,PercentTradesWBalance,1,6232,0,0.0,0.0,0.0,"0.1,0.05,0.02,0.01",1e-06
single_feature,TotalDelqEvents,1,1848,0,0.0,0.0,0.0,"0.1,0.05,0.02,0.01",1e-06
single_feature,InquiryToTradeRatio,1,3984,0,0.0,0.0,0.0,"0.1,0.05,0.02,0.01",1e-06
single_feature,RevolvingBurdenPerTrade,1,5848,0,0.0,0.0,0.0,"0.1,0.05,0.02,0.01",1e-06
single_feature,InstallBurdenPerTrade,1,6260,0,0.0,0.0,0.0,"0.1,0.05,0.02,0.01",1e-06
pair_stress,MaxDelq2PublicRecLast12M|NetFractionInstallBurden,1|1,6272,0,0.0,0.0,0.0,"0.1,0.05,0.02,0.01",1e-06
pair_stress,MSinceMostRecentInqexcl7days|NumInqLast6Mexcl7days,-1|1,6272,0,0.0,0.0,0.0,"0.1,0.05,0.02,0.01",1e-06
pair_stress,MaxDelqEver|NumBank2NatlTradesWHighUtilization,1|1,6100,0,0.0,0.0,0.0,"0.1,0.05,0.02,0.01",1e-06
pair_stress,PercentTradesWBalance|InquiryToTradeRatio,1|1,6248,0,0.0,0.0,0.0,"0.1,0.05,0.02,0.01",1e-06
pair_stress,NumTrades60Ever2DerogPubRec|MaxDelqEver,1|1,6276,0,0.0,0.0,0.0,"0.1,0.05,0.02,0.01",1e-06
