score_bin,n,avg_pred,event_rate,abs_gap
0,450,0.10751103045211897,0.08,0.027511030452118973
1,450,0.11306780083311929,0.08444444444444445,0.028623356388674845
2,450,0.11666151543458303,0.11777777777777777,0.0011162623431947433
3,450,0.12099363009134928,0.12,0.0009936300913492846
4,450,0.12855988201167848,0.13555555555555557,0.00699567354387709
5,450,0.14352515710724725,0.15777777777777777,0.014252620670530514
6,450,0.16363046672609116,0.16444444444444445,0.000813977718353287
7,450,0.22005910393264558,0.25333333333333335,0.03327422940068778
8,450,0.37133557074599793,0.4066666666666667,0.03533109592066874
9,450,0.695472278992335,0.6933333333333334,0.0021389456590016342
