feature,mean_abs_effect,mean_signed_effect,positive_effect_rate,top_reason_rate
PAY_0,0.2882600113153458,0.2882600113153458,0.22933333333333333,0.22933333333333333
LIMIT_BAL,0.1711625367386991,0.1711625367386991,1.0,0.9342222222222222
PAY_2,0.07102966358717944,0.07102966223206612,0.18355555555555556,0.15088888888888888
PAY_3,0.03449075181616677,0.03449075181616677,0.13577777777777778,0.08622222222222223
PAY_6,0.025284273579483853,0.025284273579483853,0.642,0.09533333333333334
PAY_5,0.024782871630456713,0.024782871630456713,0.09622222222222222,0.07533333333333334
BILL_AMT3,0.022651055472970055,-0.009321763890741245,0.4968888888888889,0.3728888888888889
PAY_4,0.022544366545147364,0.022544366545147364,0.11244444444444444,0.04688888888888889
PAY_AMT3,0.017196320212911814,0.017196320212911814,0.9997777777777778,0.866
AGE,0.015078512218227843,0.008778059348945842,0.47955555555555557,0.30844444444444447
PAY_AMT2,0.005916526575857359,0.005916526575857359,0.9995555555555555,0.6248888888888889
BILL_AMT2,0.003962773799988251,-0.001664154055640261,0.49244444444444446,0.006
PAY_AMT6,0.0026460062155545328,0.0026460062155545328,1.0,0.19511111111111112
PAY_AMT1,0.0014773786410547068,0.0014773786410547068,1.0,0.006222222222222222
PAY_AMT4,0.0013458875952362885,0.0013458875952362885,1.0,0.0022222222222222222
MARRIAGE,2.8004396440842863e-05,-2.6701872132737967e-05,0.010222222222222223,0.0
EDUCATION,2.0176863868578544e-05,-2.0176863868578544e-05,0.0,0.0
BILL_AMT6,4.367102405994435e-06,3.76405678825304e-07,0.5073333333333333,0.0
BILL_AMT1,5.42599057418109e-07,5.42599057418109e-07,0.08577777777777777,0.0
BILL_AMT4,2.888539074529702e-07,1.5193803630145836e-07,0.5062222222222222,0.0
SEX,0.0,0.0,0.0,0.0
BILL_AMT5,0.0,0.0,0.0,0.0
PAY_AMT5,0.0,0.0,0.0,0.0
