test_index,perturbations,exact_match_rate,jaccard_mean
0,8,0.625,0.8499999999999999
1,8,0.25,0.7
2,8,1.0,1.0
3,8,0.875,0.95
4,8,1.0,1.0
5,8,0.875,0.95
6,8,0.5,0.7999999999999999
7,8,0.875,0.95
8,8,1.0,1.0
9,8,0.625,0.85
10,8,0.875,0.95
11,8,0.875,0.95
12,8,0.625,0.85
13,8,0.75,0.9
14,8,0.625,0.8499999999999999
15,8,1.0,1.0
16,8,0.875,0.95
17,8,1.0,1.0
18,8,1.0,1.0
19,8,0.625,0.85
20,8,0.875,0.95
21,8,1.0,1.0
22,8,1.0,1.0
23,8,0.75,0.8999999999999999
24,8,1.0,1.0
25,8,0.75,0.8999999999999999
26,8,0.75,0.8666666666666667
27,8,0.5,0.8
28,8,0.75,0.8999999999999999
29,8,1.0,1.0
30,8,1.0,1.0
31,8,0.375,0.75
32,8,0.625,0.85
33,8,0.625,0.85
34,8,0.375,0.7499999999999999
35,8,0.75,0.8999999999999999
36,8,0.75,0.9
37,8,0.75,0.8999999999999999
38,8,1.0,1.0
39,8,0.625,0.85
40,8,0.875,0.95
41,8,0.75,0.9
42,8,0.75,0.8999999999999999
43,8,0.5,0.8
44,8,0.75,0.9
45,8,0.5,0.8
46,8,1.0,1.0
47,8,1.0,1.0
48,8,0.625,0.8499999999999999
49,8,1.0,1.0
50,8,1.0,1.0
51,8,0.625,0.8166666666666667
52,8,1.0,1.0
53,8,0.25,0.7
54,8,0.75,0.8999999999999999
55,8,0.75,0.8999999999999999
56,8,0.375,0.75
57,8,1.0,1.0
58,8,1.0,1.0
59,8,0.875,0.95
60,8,0.75,0.9
61,8,0.875,0.95
62,8,1.0,1.0
63,8,0.25,0.7
64,8,1.0,1.0
65,8,0.25,0.7
66,8,1.0,1.0
67,8,0.375,0.75
68,8,1.0,1.0
69,8,0.625,0.85
70,8,0.625,0.8499999999999999
71,8,0.75,0.8999999999999999
72,8,1.0,1.0
73,8,1.0,1.0
74,8,0.375,0.75
75,8,0.75,0.8999999999999999
76,8,0.5,0.7333333333333333
77,8,1.0,1.0
78,8,0.875,0.95
79,8,0.625,0.8500000000000001
80,8,0.75,0.8999999999999999
81,8,0.625,0.7833333333333333
82,8,0.75,0.8666666666666666
83,8,1.0,1.0
84,8,0.75,0.8999999999999999
85,8,0.625,0.8499999999999999
86,8,0.625,0.85
87,8,0.875,0.95
88,8,1.0,1.0
89,8,1.0,1.0
90,8,0.75,0.9
91,8,1.0,1.0
92,8,0.125,0.6499999999999999
93,8,1.0,1.0
94,8,1.0,1.0
95,8,1.0,1.0
96,8,0.75,0.8999999999999999
97,8,0.75,0.8999999999999999
98,8,0.75,0.8333333333333333
99,8,0.75,0.8999999999999999
100,8,0.625,0.8500000000000001
101,8,1.0,1.0
102,8,1.0,1.0
103,8,0.625,0.85
104,8,0.75,0.9
105,8,1.0,1.0
106,8,1.0,1.0
107,8,0.75,0.8999999999999999
108,8,0.75,0.9
109,8,0.75,0.8666666666666667
110,8,0.5,0.7999999999999999
111,8,1.0,1.0
112,8,1.0,1.0
113,8,0.875,0.95
114,8,0.5,0.7999999999999999
115,8,0.875,0.95
116,8,0.875,0.95
117,8,0.75,0.8999999999999999
118,8,0.875,0.95
119,8,0.375,0.7499999999999999
120,8,1.0,1.0
121,8,0.875,0.95
122,8,1.0,1.0
123,8,0.75,0.9
124,8,0.75,0.8666666666666667
125,8,1.0,1.0
126,8,0.625,0.8166666666666667
127,8,0.25,0.7
128,8,0.75,0.9
129,8,1.0,1.0
130,8,1.0,1.0
131,8,0.875,0.95
132,8,0.75,0.9
133,8,0.5,0.7666666666666666
134,8,0.5,0.7666666666666666
135,8,0.875,0.95
136,8,0.875,0.95
137,8,1.0,1.0
138,8,1.0,1.0
139,8,0.875,0.95
140,8,1.0,1.0
141,8,0.25,0.6999999999999998
142,8,1.0,1.0
143,8,0.75,0.8999999999999999
144,8,0.375,0.75
145,8,1.0,1.0
146,8,0.375,0.7166666666666666
147,8,1.0,1.0
148,8,0.75,0.8999999999999999
149,8,0.5,0.7999999999999999
150,8,1.0,1.0
151,8,0.125,0.6166666666666667
152,8,1.0,1.0
153,8,0.75,0.8999999999999999
154,8,1.0,1.0
155,8,1.0,1.0
156,8,0.875,0.95
157,8,0.875,0.95
158,8,1.0,1.0
159,8,1.0,1.0
160,8,1.0,1.0
161,8,0.75,0.8999999999999999
162,8,0.25,0.7
163,8,1.0,1.0
164,8,0.625,0.8500000000000001
165,8,1.0,1.0
166,8,0.75,0.9
167,8,0.875,0.95
168,8,1.0,1.0
169,8,0.5,0.7666666666666667
170,8,1.0,1.0
171,8,0.875,0.95
172,8,0.625,0.8500000000000001
173,8,0.75,0.9
174,8,0.75,0.9
175,8,0.875,0.95
176,8,1.0,1.0
177,8,1.0,1.0
178,8,0.875,0.95
179,8,0.375,0.6833333333333332
180,8,0.875,0.95
181,8,0.875,0.95
182,8,0.375,0.7166666666666667
183,8,1.0,1.0
184,8,0.625,0.85
185,8,1.0,1.0
186,8,0.875,0.95
187,8,1.0,1.0
188,8,0.5,0.7999999999999999
189,8,0.75,0.9
190,8,0.625,0.85
191,8,0.5,0.7666666666666666
192,8,0.625,0.8499999999999999
193,8,1.0,1.0
194,8,0.375,0.75
195,8,0.625,0.8500000000000001
196,8,0.5,0.7666666666666666
197,8,0.5,0.7999999999999998
198,8,1.0,1.0
199,8,0.75,0.8999999999999999
200,8,0.75,0.8999999999999999
201,8,1.0,1.0
202,8,0.875,0.95
203,8,1.0,1.0
204,8,0.75,0.8999999999999999
205,8,1.0,1.0
206,8,1.0,1.0
207,8,0.875,0.95
208,8,1.0,1.0
209,8,0.875,0.95
210,8,1.0,1.0
211,8,1.0,1.0
212,8,0.875,0.95
213,8,1.0,1.0
214,8,0.75,0.8999999999999999
215,8,0.375,0.75
216,8,1.0,1.0
217,8,0.625,0.8499999999999999
218,8,0.75,0.9
219,8,0.625,0.8499999999999999
220,8,0.75,0.8999999999999999
221,8,0.625,0.8166666666666667
222,8,0.625,0.85
223,8,1.0,1.0
224,8,0.875,0.95
225,8,1.0,1.0
226,8,0.625,0.8499999999999999
227,8,0.75,0.8999999999999999
228,8,1.0,1.0
229,8,0.375,0.7166666666666667
230,8,0.625,0.8500000000000001
231,8,0.625,0.8500000000000001
