test_index,block_index,feature_a,feature_b,dense_weight,old_phi_a,old_phi_b,old_baseline_f0,old_block_output_fab,old_identity_residual,new_phi_a,new_phi_b,new_pure_interaction,new_baseline_f0,new_block_output_fab,new_identity_residual
3480,0,LIMIT_BAL,AGE,0.6439406871795654,0.02139563113451004,0.001544727012515068,0.026498520746827126,0.049438878893852234,0.0,-0.1426815688610077,0.0015447214245796204,1.4901161193847656e-08,0.1905757188796997,0.049438878893852234,1.4901161193847656e-08
1974,0,LIMIT_BAL,AGE,0.6439406871795654,0.09118490666151047,0.001544727012515068,0.026498520746827126,0.11922815442085266,0.0,-0.07289228588342667,0.0015447214245796204,1.4901161193847656e-08,0.1905757188796997,0.11922815442085266,0.0
2944,0,LIMIT_BAL,AGE,0.6439406871795654,0.04152072221040726,0.005650878883898258,0.026498520746827126,0.07367011904716492,0.0,-0.12255647778511047,0.005650877952575684,0.0,0.1905757188796997,0.07367011904716492,0.0
401,0,LIMIT_BAL,AGE,0.6439406871795654,0.45842480659484863,0.06343334168195724,0.026498520746827126,0.5483566522598267,0.0,0.2943475842475891,0.06343333423137665,2.9802322387695312e-08,0.1905757188796997,0.5483566522598267,0.0
1948,0,LIMIT_BAL,AGE,0.6439406871795654,0.05099384859204292,0.02501775696873665,0.026498520746827126,0.10251012444496155,0.0,-0.11308334767818451,0.02501775696873665,0.0,0.1905757188796997,0.10251012444496155,0.0
3480,1,PAY_0,PAY_2,2.3518996238708496,0.0,0.0,0.010903337970376015,0.010903337970376015,0.0,0.0,0.0,0.0,0.010903337970376015,0.010903337970376015,0.0
1974,1,PAY_0,PAY_2,2.3518996238708496,0.0,0.0,0.010903337970376015,0.010903337970376015,0.0,0.0,0.0,0.0,0.010903337970376015,0.010903337970376015,0.0
2944,1,PAY_0,PAY_2,2.3518996238708496,0.0,0.0,0.010903337970376015,0.010903337970376015,0.0,0.0,0.0,0.0,0.010903337970376015,0.010903337970376015,0.0
401,1,PAY_0,PAY_2,2.3518996238708496,0.0,0.0,0.010903337970376015,0.010903337970376015,0.0,0.0,0.0,0.0,0.010903337970376015,0.010903337970376015,0.0
1948,1,PAY_0,PAY_2,2.3518996238708496,0.3426342010498047,0.0,0.010903337970376015,0.35353752970695496,0.0,0.3426342010498047,1.4901161193847656e-08,2.9802322387695312e-08,0.010903337970376015,0.35353752970695496,0.0
3480,4,BILL_AMT2,PAY_AMT2,0.074215367436409,0.03996697813272476,0.10984962433576584,0.07203611731529236,0.22185271978378296,0.0,0.058597974479198456,0.0011448487639427185,1.4901161193847656e-08,0.16210989654064178,0.22185271978378296,0.0
1974,4,BILL_AMT2,PAY_AMT2,0.074215367436409,-0.01644798368215561,0.0824149027466774,0.07203611731529236,0.13800303637981415,0.0,-0.02411537617444992,8.516013622283936e-06,1.4901161193847656e-08,0.16210989654064178,0.13800303637981415,0.0
2944,4,BILL_AMT2,PAY_AMT2,0.074215367436409,0.037717871367931366,0.1077352836728096,0.07203611731529236,0.21748927235603333,0.0,0.055300429463386536,7.894635200500488e-05,0.0,0.16210989654064178,0.21748927235603333,0.0
401,4,BILL_AMT2,PAY_AMT2,0.074215367436409,-0.0686601772904396,0.058297835290431976,0.07203611731529236,0.06167377531528473,0.0,-0.10066679120063782,0.00023067370057106018,1.4901161193847656e-08,0.16210989654064178,0.06167377531528473,0.0
1948,4,BILL_AMT2,PAY_AMT2,0.074215367436409,0.041052259504795074,0.11035553365945816,0.07203611731529236,0.2234439104795456,0.0,0.06018917262554169,0.0011448413133621216,0.0,0.16210989654064178,0.2234439104795456,0.0
3480,5,BILL_AMT3,PAY_AMT3,0.18280987441539764,0.09393952786922455,0.1268557459115982,0.21479001641273499,0.43558529019355774,0.0,0.11284101009368896,0.001474916934967041,-5.960464477539063e-08,0.32126936316490173,0.43558529019355774,0.0
1974,5,BILL_AMT3,PAY_AMT3,0.18280987441539764,-0.0014984309673309326,0.07833948731422424,0.21479001641273499,0.2916310727596283,0.0,-0.0017999261617660522,-0.027838364243507385,-2.9802322387695312e-08,0.32126936316490173,0.2916310727596283,0.0
2944,5,BILL_AMT3,PAY_AMT3,0.18280987441539764,0.09101174771785736,0.12473995983600616,0.21479001641273499,0.4305417239665985,0.0,0.10932409763336182,-5.173683166503906e-05,0.0,0.32126936316490173,0.4305417239665985,0.0
401,5,BILL_AMT3,PAY_AMT3,0.18280987441539764,-0.08336720615625381,0.09080623835325241,0.21479001641273499,0.22222904860973358,0.0,-0.10014141350984573,0.0011010989546775818,-2.9802322387695312e-08,0.32126936316490173,0.22222904860973358,0.0
1948,5,BILL_AMT3,PAY_AMT3,0.18280987441539764,0.09478670358657837,0.11299526691436768,0.21479001641273499,0.42257198691368103,0.0,0.11385859549045563,-0.01255597174167633,2.9802322387695312e-08,0.32126936316490173,0.42257198691368103,0.0
3480,6,EDUCATION,MARRIAGE,0.0011760018533095717,0.0,-0.04929378628730774,0.1004275232553482,0.051133736968040466,0.0,0.0,-0.04929378628730774,0.0,0.1004275232553482,0.051133736968040466,0.0
1974,6,EDUCATION,MARRIAGE,0.0011760018533095717,-0.04175135865807533,-0.05304824933409691,0.1004275232553482,0.005627917125821114,1.862645149230957e-09,-0.04175135865807533,-0.05304824933409691,-0.007508926093578339,0.1004275232553482,0.005627917125821114,1.862645149230957e-09
2944,6,EDUCATION,MARRIAGE,0.0011760018533095717,0.0,0.0,0.1004275232553482,0.1004275232553482,0.0,0.0,0.0,0.0,0.1004275232553482,0.1004275232553482,0.0
401,6,EDUCATION,MARRIAGE,0.0011760018533095717,0.0,0.0,0.1004275232553482,0.1004275232553482,0.0,0.0,0.0,0.0,0.1004275232553482,0.1004275232553482,0.0
1948,6,EDUCATION,MARRIAGE,0.0011760018533095717,-0.04175135865807533,-0.05304824933409691,0.1004275232553482,0.005627917125821114,1.862645149230957e-09,-0.04175135865807533,-0.05304824933409691,-0.007508926093578339,0.1004275232553482,0.005627917125821114,1.862645149230957e-09
