attribute,group,n,base_default_rate,approval_rate,approval_ci95_low,approval_ci95_high,tpr,fpr,auc
SEX,female,2734,0.20043891733723482,0.8383321141185077,0.8240592451285479,0.8516555571437775,0.46897810218978103,0.08462946020128088,0.7625938286775166
SEX,male,1766,0.2536806342015855,0.8176670441676104,0.7989755541108182,0.8349795351476438,0.42857142857142855,0.09863429438543247,0.7354258684695426
EDUCATION,graduate school,1580,0.20253164556962025,0.8791139240506329,0.8621133806883916,0.8942754569241897,0.365625,0.05873015873015873,0.7377294146825396
EDUCATION,high school,766,0.25718015665796345,0.7872062663185379,0.7568260934625312,0.8147201579877711,0.45685279187817257,0.1282952548330404,0.7113022222618718
EDUCATION,other,20,0.05,0.95,0.763868806553258,0.9911185511992047,1.0,0.0,1.0
EDUCATION,university,2086,0.2286673058485139,0.8039309683604986,0.7863413366756794,0.8204032537563325,0.5052410901467506,0.10441267868241144,0.7696799840519718
EDUCATION,unknown,48,0.020833333333333332,1.0,0.9258998703338824,0.9999999999999999,0.0,0.0,0.9361702127659575
MARRIAGE,married,2063,0.24139602520601067,0.8337372758119244,0.8170538412319786,0.8491801333785818,0.43172690763052207,0.0817891373801917,0.750958466453674
MARRIAGE,other,46,0.1956521739130435,0.8043478260869565,0.6682874107701539,0.8934938986560147,0.5555555555555556,0.10810810810810811,0.7927927927927927
MARRIAGE,single,2383,0.20520352496852706,0.8283676038606799,0.8127030747106141,0.8429751624075081,0.46830265848670755,0.09503695881731784,0.7554677023341388
MARRIAGE,unknown,8,0.0,0.625,0.30574239460262737,0.8631557141764026,,0.375,
AGE,21-30,1616,0.22153465346534654,0.806930693069307,0.7869675601344115,0.8254380519075311,0.4972067039106145,0.10651828298887123,0.7734621328525371
AGE,31-40,1628,0.20208845208845208,0.8581081081081081,0.8403140477713931,0.8742161498144985,0.4012158054711246,0.07621247113163972,0.7355880487913312
AGE,41-50,908,0.23458149779735682,0.8303964757709251,0.8046064339223248,0.8534026905761315,0.4647887323943662,0.07913669064748201,0.744722531833688
AGE,51+,348,0.27586206896551724,0.8074712643678161,0.7627787754809628,0.8454497167418907,0.4166666666666667,0.10714285714285714,0.7399553571428571
