section,name,value
xcreditscore,auc,0.7521690643853954
xcreditscore,pr_auc,0.5293459157744262
xcreditscore,brier,0.13932709395885468
xcreditscore,log_loss,0.4447139903658751
xcreditscore,accuracy,0.8084444444444444
xcreditscore,precision,0.587696335078534
xcreditscore,recall,0.4508032128514056
xcreditscore,f1,0.5102272727272728
baseline:logistic_regression,auc,0.7129428100529973
baseline:logistic_regression,pr_auc,0.4913121941583428
baseline:logistic_regression,f1,0.49774266365688485
baseline:logistic_regression,accuracy,0.8022222222222222
baseline:random_forest,auc,0.7622191104601053
baseline:random_forest,pr_auc,0.5302047398863782
baseline:random_forest,f1,0.5271028037383177
baseline:random_forest,accuracy,0.7751111111111111
baseline:xgboost,auc,0.7781582952815829
baseline:xgboost,pr_auc,0.557182300354548
baseline:xgboost,f1,0.5514485514485514
baseline:xgboost,accuracy,0.8004444444444444
baseline:monotone_xgboost,auc,0.7792021396086629
baseline:monotone_xgboost,pr_auc,0.554040740847466
baseline:monotone_xgboost,f1,0.5386934673366834
baseline:monotone_xgboost,accuracy,0.796
baseline:ebm,auc,0.7785886697474831
baseline:ebm,pr_auc,0.5353111986007659
baseline:ebm,f1,0.5291005291005291
baseline:ebm,accuracy,0.8022222222222222
baseline:monotone_gam,auc,0.7715026773761714
baseline:monotone_gam,pr_auc,0.5415140560306129
baseline:monotone_gam,f1,0.5134843581445523
baseline:monotone_gam,accuracy,0.7995555555555556
objective_sweep:f1,threshold,0.3
objective_sweep:f1,f1,0.5102272727272728
objective_sweep:precision,threshold,0.7000000000000004
objective_sweep:precision,f1,0.25849212924606463
objective_sweep:recall,threshold,0.3
objective_sweep:recall,f1,0.5102272727272728
