model,trial,interactions,learning_rate,max_bins,outer_bags,auc_mean,pr_auc_mean,f1_mean,auc_std,pr_auc_std,f1_std,lam,n_splines,spline_order,max_iter
ebm,1,10.0,0.05,128.0,8.0,0.7785283611902865,0.5403592294946691,0.5184931522123681,0.0062099091142722145,0.006046888969492803,0.008549931149766847,,,,
ebm,2,5.0,0.02,512.0,8.0,0.7782753443721127,0.5423124989764317,0.5174113099706394,0.005631685848294298,0.005369267227474624,0.008596975133378926,,,,
ebm,3,5.0,0.01,128.0,8.0,0.7782625690491637,0.5426104450399869,0.5172456271403266,0.005378875487667591,0.004696239826342459,0.012023466389119846,,,,
ebm,4,5.0,0.02,128.0,14.0,0.778966778870179,0.5422255127794452,0.518695528877559,0.006020891933174823,0.0052102202228913215,0.009111184466368456,,,,
ebm,5,10.0,0.01,256.0,14.0,0.7783309030547033,0.5430069070074569,0.5168369645281223,0.005692867516739019,0.005287906403450688,0.01110338432459057,,,,
ebm,6,10.0,0.01,128.0,14.0,0.7782329657843228,0.542668024269289,0.5178985694603133,0.005295166685107282,0.005132415461095254,0.010975067005180236,,,,
ebm,7,15.0,0.02,128.0,8.0,0.7787002473850484,0.5420859408219213,0.5187508823842252,0.0058207405917946224,0.005329749263827169,0.009911110094056604,,,,
ebm,8,10.0,0.05,256.0,8.0,0.7784124621589663,0.5406508300419572,0.518760818499019,0.0064507208441099565,0.006532090929771298,0.00748409447934781,,,,
ebm,9,5.0,0.05,256.0,14.0,0.778522462476192,0.5404410773216842,0.519628499169883,0.006356810783158438,0.006217414845977233,0.00905575811132681,,,,
ebm,10,5.0,0.02,512.0,14.0,0.7785139176347196,0.5422885042663802,0.5170835148478019,0.006193610255857153,0.00555469309173799,0.00855238120581384,,,,
ebm,11,15.0,0.01,256.0,14.0,0.7782803965401296,0.5427956546866721,0.517450606808505,0.005571840842020144,0.005382023622299941,0.011393937890906636,,,,
ebm,12,15.0,0.02,256.0,14.0,0.7786589459563272,0.5421612306831997,0.5180345300366053,0.005909521623357176,0.005784520976036289,0.008991549043060487,,,,
ebm,13,10.0,0.02,256.0,8.0,0.7786530048871052,0.5425193912225346,0.5183679040780327,0.00611377272415773,0.0058356158037631105,0.00975696407699291,,,,
